"","LOCALITY_NAME","POSTCODE","SA2_MAINCODE","SA2_NAME"
"208","TAYLOR",2913,801041121,"Taylor"
"209","THEODORE",2905,801071088,"Theodore"
"210","THROSBY",2914,801041122,"Throsby"
"211","TORRENS",2607,801091110,"Torrens"
"212","TORRENS PARK",2607,801091110,"Torrens"
"213","BELLVIEW",2900,801071089,"Tuggeranong"
"214","TURNER",2612,801051060,"Turner"
"215","ERINDALE",2903,801071090,"Wanniassa"
"216","ERINDALE CENTRE",2903,801071090,"Wanniassa"
"217","WANNIASSA",2903,801071090,"Wanniassa"
"218","WARAMANGA",2611,801081097,"Waramanga"
"219","PASADENA",2602,801051061,"Watson"
"220","WATSON",2602,801051061,"Watson"
"221","WEETANGERA",2614,801011026,"Weetangera"
"222","PARKWOOD",2617,801011112,"West Belconnen"
"223","STRATHNAIRN",2615,801011112,"West Belconnen"
"224","MACNAMARA",2615,801011112,"West Belconnen"
"225","WESTON",2611,801081098,"Weston"
"226","WRIGHT",2611,801101139,"Wright"
"227","YARRALUMLA",2600,801061070,"Yarralumla"
"228","ACACIA GARDENS",2763,116021562,"Acacia Gardens"
"229","ADAMSTOWN",2289,111031222,"Adamstown - Kotara"
"230","ADAMSTOWN HEIGHTS",2289,111031222,"Adamstown - Kotara"
"231","GARDEN CITY",2289,111031222,"Adamstown - Kotara"
"232","KOTARA",2289,111031222,"Adamstown - Kotara"
"233","KOTARA SOUTH",2289,111031222,"Adamstown - Kotara"
"234","SOUTH KOTARA",2289,111031222,"Adamstown - Kotara"
"235","MACQUARIE PASS",2577,107031136,"Albion Park - Macquarie Pass"
"236","ALBION PARK",2527,107031136,"Albion Park - Macquarie Pass"
"237","WOLLONGONG",2527,107031136,"Albion Park - Macquarie Pass"
"238","TONGARRA",2527,107031136,"Albion Park - Macquarie Pass"
"239","TULLIMBAR",2527,107031136,"Albion Park - Macquarie Pass"
"240","YELLOW ROCK",2527,107031136,"Albion Park - Macquarie Pass"
"241","CALDERWOOD",2527,107031136,"Albion Park - Macquarie Pass"
"242","MACQUARIE NORTH",2527,107031136,"Albion Park - Macquarie Pass"
"243","N MACQUARIE",2527,107031136,"Albion Park - Macquarie Pass"
"244","NORTH MACQUARIE",2527,107031136,"Albion Park - Macquarie Pass"
"245","ALBION PARK RAIL",2527,107031137,"Albion Park Rail"
"246","ALBURY EAST",2640,109011172,"Albury - East"
"247","E ALBURY",2640,109011172,"Albury - East"
"248","EAST ALBURY",2640,109011172,"Albury - East"
"249","LAKE HUME VILLAGE",3691,109011172,"Albury - East"
"250","THURGOONA",2640,109011172,"Albury - East"
"251","WIRLINGA",2640,109011172,"Albury - East"
"252","GLENROY",2640,109011173,"Albury - North"
"253","HAMILTON VALLEY",2641,109011173,"Albury - North"
"254","ALBURY NORTH",2640,109011173,"Albury - North"
