"","LOCALITY_NAME","POSTCODE","SA2_MAINCODE","SA2_NAME"
"1058","CRAIGIE",2632,101031013,"Bombala"
"1059","CREEWAH",2631,101031013,"Bombala"
"1060","BALGOWNIE",2633,101031013,"Bombala"
"1061","DELEGATE",2633,101031013,"Bombala"
"1062","GLEN ALLEN",2631,101031013,"Bombala"
"1063","GUNNINGRAH",2632,101031013,"Bombala"
"1064","HOLTS FLAT",2631,101031013,"Bombala"
"1065","JILLCUMBILLY",2631,101031013,"Bombala"
"1066","JIMCUMBILLY",2631,101031013,"Bombala"
"1067","JINCUMBILLY",2631,101031013,"Bombala"
"1068","LORDS HILL",2632,101031013,"Bombala"
"1069","MAHARATTA",2632,101031013,"Bombala"
"1070","MERRIANGAAH",2632,101031013,"Bombala"
"1071","CAIRNLEA",2632,101031013,"Bombala"
"1072","MILA",2632,101031013,"Bombala"
"1073","SPRINGVALE",2632,101031013,"Bombala"
"1074","MOUNT COOPER",2631,101031013,"Bombala"
"1075","MT COOPER",2631,101031013,"Bombala"
"1076","PADDYS FLAT",2632,101031013,"Bombala"
"1077","PALARANG",2632,101031013,"Bombala"
"1078","QUIDONG",2632,101031013,"Bombala"
"1079","BIBBENLUKE",2632,101031013,"Bombala"
"1080","ROCKTON",2632,101031013,"Bombala"
"1081","ROSEMEATH",2632,101031013,"Bombala"
"1082","TOMBONG",2633,101031013,"Bombala"
"1083","BOCCO",2631,101031013,"Bombala"
"1084","BOCO",2631,101031013,"Bombala"
"1085","BOMBALA",2632,101031013,"Bombala"
"1086","BONDI FOREST",2632,101031013,"Bombala"
"1087","ANDO",2631,101031013,"Bombala"
"1088","STONELEIGH",2631,101031013,"Bombala"
"1089","BUKALONG",2632,101031013,"Bombala"
"1090","BOMBALA",2630,101031013,"Bombala"
"1091","BUNGARBY",2630,101031013,"Bombala"
"1092","ROSLYN",2630,101031013,"Bombala"
"1093","BYADBO WILDERNESS",2628,101031013,"Bombala"
"1094","CAMBALONG",2632,101031013,"Bombala"
"1095","CATHCART",2632,101031013,"Bombala"
"1096","CHARING CROSS",2026,118011339,"Bondi - Tamarama - Bronte"
"1097","TAMARAMA",2026,118011339,"Bondi - Tamarama - Bronte"
"1098","TAMARAMA BEACH",2026,118011339,"Bondi - Tamarama - Bronte"
"1099","BONDI",2026,118011339,"Bondi - Tamarama - Bronte"
"1100","BRONTE",2024,118011339,"Bondi - Tamarama - Bronte"
"1101","BRONTE BEACH",2024,118011339,"Bondi - Tamarama - Bronte"
"1102","BONDI NORTH",2026,118011340,"Bondi Beach - North Bondi"
"1103","N BONDI",2026,118011340,"Bondi Beach - North Bondi"
"1104","NORTH BONDI",2026,118011340,"Bondi Beach - North Bondi"
"1105","BONDI BEACH",2026,118011340,"Bondi Beach - North Bondi"
"1106","QUEENS PARK",2022,118011341,"Bondi Junction - Waverly"
"1107","CHARING CROSS",2024,118011341,"Bondi Junction - Waverly"
"1108","WAVERLEY",2024,118011341,"Bondi Junction - Waverly"
"1109","WAVERLEYNIIKL",2024,118011341,"Bondi Junction - Waverly"
"1110","BONDI",2022,118011341,"Bondi Junction - Waverly"
"1111","BONDI JUNCTION",2022,118011341,"Bondi Junction - Waverly"
"1112","BALCOLYN",2264,111021216,"Bonnells Bay - Silverwater"
"1113","MIRRABOOKA",2264,111021216,"Bonnells Bay - Silverwater"
"1114","MORISSET PARK",2264,111021216,"Bonnells Bay - Silverwater"
"1115","SILVERWATER",2264,111021216,"Bonnells Bay - Silverwater"
"1116","SUNSHINE",2264,111021216,"Bonnells Bay - Silverwater"
"1117","WINDERMERE PARK",2264,111021216,"Bonnells Bay - Silverwater"
"1118","YARRAWONGA PARK",2264,111021216,"Bonnells Bay - Silverwater"
"1119","BONNELLS BAY",2264,111021216,"Bonnells Bay - Silverwater"
"1120","BRIGHTWATERS",2264,111021216,"Bonnells Bay - Silverwater"
"1121","BONNYRIGG",2177,127021509,"Bonnyrigg Heights - Bonnyrigg"
"1122","BONNYRIGG HEIGHTS",2177,127021509,"Bonnyrigg Heights - Bonnyrigg"
"1123","ABBOTSBURY",2176,127021510,"Bossley Park - Abbotsbury"
"1124","BOSSLEY PARK",2176,127021510,"Bossley Park - Abbotsbury"
"1125","BOTANY",2019,117011321,"Botany"
"1126","BOTANY BAY",NA,117011321,"Botany"
"1127","DOLLS POINT",NA,117011321,"Botany"
"1128","DOLLS PT",NA,117011321,"Botany"
"1129","BEULAH",2840,105011092,"Bourke - Brewarrina"
"1130","ENNGONIA",2840,105011092,"Bourke - Brewarrina"
"1131","ENNGONIA/CLARE HART",2840,105011092,"Bourke - Brewarrina"
"1132","GLENALBYN",2840,105011092,"Bourke - Brewarrina"
"1133","MORTON PLAINS",2840,105011092,"Bourke - Brewarrina"
"1134","WANDELLA",2840,105011092,"Bourke - Brewarrina"
"1135","FORDS BRIDGE",2840,105011092,"Bourke - Brewarrina"
"1136","WAVERLEY",2840,105011092,"Bourke - Brewarrina"
"1137","GONGOLGON",2839,105011092,"Bourke - Brewarrina"
"1138","GUMBALIE",2840,105011092,"Bourke - Brewarrina"
"1139","GUNDERBOOKA",2840,105011092,"Bourke - Brewarrina"
"1140","KOONAWARRA",2840,105011092,"Bourke - Brewarrina"
"1141","BERAWINNIA",2840,105011092,"Bourke - Brewarrina"
"1142","BRINDINGABBA",2840,105011092,"Bourke - Brewarrina"
"1143","HUNGERFORD",2840,105011092,"Bourke - Brewarrina"
"1144","PARRAGUNDY",2840,105011092,"Bourke - Brewarrina"
"1145","WARROO",2840,105011092,"Bourke - Brewarrina"
"1146","DUNLOP",2840,105011092,"Bourke - Brewarrina"
"1147","IDALIA",2840,105011092,"Bourke - Brewarrina"
"1148","LOUTH",2840,105011092,"Bourke - Brewarrina"
"1149","NEW CHUM",2840,105011092,"Bourke - Brewarrina"
"1150","WOODLANDS",2840,105011092,"Bourke - Brewarrina"
"1151","NARRAN LAKE",2839,105011092,"Bourke - Brewarrina"
"1152","ROSEHILL",2839,105011092,"Bourke - Brewarrina"
"1153","TALAWANTA",2839,105011092,"Bourke - Brewarrina"
"1154","SWAMP",2840,105011092,"Bourke - Brewarrina"
"1155","URISINO",2840,105011092,"Bourke - Brewarrina"
"1156","WANAARING",2840,105011092,"Bourke - Brewarrina"
"1157","YARRAWONGA",2840,105011092,"Bourke - Brewarrina"
"1158","JOBS",2839,105011092,"Bourke - Brewarrina"
"1159","ORANA",2839,105011092,"Bourke - Brewarrina"
"1160","TOULBY",2839,105011092,"Bourke - Brewarrina"
"1161","WEILMORINGLE",2839,105011092,"Bourke - Brewarrina"
"1162","YANTABULLA",2840,105011092,"Bourke - Brewarrina"
"1163","BELVEDERE",2840,105011092,"Bourke - Brewarrina"
"1164","NORTH BOURKE",2840,105011092,"Bourke - Brewarrina"
"1165","PRAIRIE",2840,105011092,"Bourke - Brewarrina"
"1166","BARRINGUN",2840,105011092,"Bourke - Brewarrina"
"1167","ALICE EDWARDS VILLAGE",2840,105011092,"Bourke - Brewarrina"
"1168","BOURKE",2840,105011092,"Bourke - Brewarrina"
"1169","MOIRA",2840,105011092,"Bourke - Brewarrina"
"1170","STONY POINT",2840,105011092,"Bourke - Brewarrina"
"1171","THE ANGLE",2840,105011092,"Bourke - Brewarrina"
"1172","BREWARRINA",2839,105011092,"Bourke - Brewarrina"
"1173","BREWARRINA WEST",2839,105011092,"Bourke - Brewarrina"
"1174","KENTUCKY",2839,105011092,"Bourke - Brewarrina"
"1175","MBREWARRINA",2839,105011092,"Bourke - Brewarrina"
"1176","BOGAN",2831,105011092,"Bourke - Brewarrina"
"1177","BYROCK",2831,105011092,"Bourke - Brewarrina"
"1178","HASTINGS",2831,105011092,"Bourke - Brewarrina"
"1179","BOURKE",2839,105011092,"Bourke - Brewarrina"
"1180","COLLERINA",2839,105011092,"Bourke - Brewarrina"
"1181","PAISLEY",2839,105011092,"Bourke - Brewarrina"
"1182","BOWRAL",2576,114021284,"Bowral"
"1183","BOWRAL EAST",2576,114021284,"Bowral"
"1184","E BOWRAL",2576,114021284,"Bowral"
"1185","EAST BOWRAL",2576,114021284,"Bowral"
"1186","BONG BONG",2576,114021284,"Bowral"
"1187","BURRADOO",2576,114021284,"Bowral"
"1188","DALEYS POINT",2257,102011029,"Box Head - MacMasters Beach"
"1189","DALEYS PT",2257,102011029,"Box Head - MacMasters Beach"
"1190","KINCUMBER SOUTH",2257,102011029,"Box Head - MacMasters Beach"
"1191","EMPIRE BAY",2257,102011029,"Box Head - MacMasters Beach"
"1192","KINCUMBER",2257,102011029,"Box Head - MacMasters Beach"
"1193","MERRITTS WHARF",2257,102011029,"Box Head - MacMasters Beach"
"1194","HARDYS BAY",2257,102011029,"Box Head - MacMasters Beach"
"1195","KILLCARE",2257,102011029,"Box Head - MacMasters Beach"
"1196","PUTTY BEACH",2257,102011029,"Box Head - MacMasters Beach"
"1197","KILLCARE BEACH",2257,102011029,"Box Head - MacMasters Beach"
"1198","KILLCARE HEIGHTS",2257,102011029,"Box Head - MacMasters Beach"
"1199","MACMASTERS BEACH",2257,102011029,"Box Head - MacMasters Beach"
"1200","KINCUMBER SOUTH",2251,102011029,"Box Head - MacMasters Beach"
"1201","SOUTH KINCUMBER",2251,102011029,"Box Head - MacMasters Beach"
"1202","KILLCARE HEIGHTS",2251,102011029,"Box Head - MacMasters Beach"
"1203","MACMASTERS BEACH",2251,102011029,"Box Head - MacMasters Beach"
"1204","BENSVILLE",2251,102011029,"Box Head - MacMasters Beach"
"1205","PRETTY BEACH",2257,102011029,"Box Head - MacMasters Beach"
"1206","SAINT HUBERTS IS",2257,102011029,"Box Head - MacMasters Beach"
"1207","SAINT HUBERTS ISLAND",2257,102011029,"Box Head - MacMasters Beach"
"1208","ST HUBERTS IS",2257,102011029,"Box Head - MacMasters Beach"
"1209","ST HUBERTS ISLAND",2257,102011029,"Box Head - MacMasters Beach"
"1210","WAGSTAFFE",2257,102011029,"Box Head - MacMasters Beach"
"1211","BOUDDI",2251,102011029,"Box Head - MacMasters Beach"
"1212","BOX HEAD",NA,102011029,"Box Head - MacMasters Beach"
"1213","AIRDS",2560,123021436,"Bradbury - Wedderburn"
"1214","SAINT HELENS PARK",2560,123021436,"Bradbury - Wedderburn"
"1215","ST HELENS PARK",2560,123021436,"Bradbury - Wedderburn"
"1216","WEDDERBURN",2560,123021436,"Bradbury - Wedderburn"
"1217","BRADBURY",2560,123021436,"Bradbury - Wedderburn"
"1218","CORANG",2622,101021007,"Braidwood"
"1219","BACK CREEK",2622,101021007,"Braidwood"
"1220","DURRAN DURRA",2622,101021007,"Braidwood"
"1221","FARRINGDON",2622,101021007,"Braidwood"
"1222","BALLALABA",2622,101021007,"Braidwood"
"1223","GREEN HILLS",2622,101021007,"Braidwood"
"1224","HAROLDS CROSS",2622,101021007,"Braidwood"
"1225","HEREFORD HALL",2622,101021007,"Braidwood"
"1226","JEMBAICUMBENE",2622,101021007,"Braidwood"
"1227","JERRABATTGULLA",2622,101021007,"Braidwood"
"1228","KAIN",2622,101021007,"Braidwood"
"1229","JINDEN",2622,101021007,"Braidwood"
"1230","KINDERVALE",2622,101021007,"Braidwood"
"1231","GUNDILLION",2622,101021007,"Braidwood"
"1232","KRAWAREE",2622,101021007,"Braidwood"
"1233","KRAWARREE",2622,101021007,"Braidwood"
"1234","ORANMEIR",2622,101021007,"Braidwood"
"1235","LARBERT",2622,101021007,"Braidwood"
"1236","BORO LOWER",2580,101021007,"Braidwood"
"1237","CULLULLA",2580,101021007,"Braidwood"
"1238","LOWER BORO",2580,101021007,"Braidwood"
"1239","MAJORS CREEK",2622,101021007,"Braidwood"
"1240","MANAR",2622,101021007,"Braidwood"
"1241","CHARLEYONG",2622,101021007,"Braidwood"
"1242","MARLOWE",2622,101021007,"Braidwood"
"1243","MAYFIELD",2580,101021007,"Braidwood"
"1244","MONGA",2622,101021007,"Braidwood"
"1245","MONGARLOWE",2622,101021007,"Braidwood"
"1246","BENDOURA",2622,101021007,"Braidwood"
"1247","NERINGLA",2622,101021007,"Braidwood"
"1248","NERRIGA",2622,101021007,"Braidwood"
"1249","NORTHANGERA",2622,101021007,"Braidwood"
"1250","BERLANG",2622,101021007,"Braidwood"
"1251","OALLEN",2622,101021007,"Braidwood"
"1252","REIDSDALE",2622,101021007,"Braidwood"
"1253","SNOWBALL",2622,101021007,"Braidwood"
"1254","TOMBOYE",2622,101021007,"Braidwood"
"1255","WARRI",2622,101021007,"Braidwood"
"1256","WOG WOG",2622,101021007,"Braidwood"
"1257","WYANBENE",2622,101021007,"Braidwood"
"1258","BOMBAY",2622,101021007,"Braidwood"
"1259","BORO",2622,101021007,"Braidwood"
"1260","BRAIDWOOD",2622,101021007,"Braidwood"
"1261","BUDAWANG",2622,101021007,"Braidwood"
"1262","CURROWAN CREEK",2622,101021007,"Braidwood"
"1263","ARALUEN",2622,101021007,"Braidwood"
"1264","ARALUEN LOWER",2622,101021007,"Braidwood"
"1265","ARALUEN NORTH",2622,101021007,"Braidwood"
"1266","NORTH ARALUEN",2622,101021007,"Braidwood"
"1267","CHARLEYS FOREST",2622,101021007,"Braidwood"
"1268","DALWOOD",2335,106011107,"Branxton - Greta - Pokolbin"
"1269","E BRANXTON",2335,106011107,"Branxton - Greta - Pokolbin"
"1270","EAST BRANXTON",2335,106011107,"Branxton - Greta - Pokolbin"
"1271","BRANXTON",2334,106011107,"Branxton - Greta - Pokolbin"
"1272","GRETA",2334,106011107,"Branxton - Greta - Pokolbin"
"1273","HARPERS HILL",2321,106011107,"Branxton - Greta - Pokolbin"
"1274","KEINBAH",2320,106011107,"Branxton - Greta - Pokolbin"
"1275","LECONFIELD",2335,106011107,"Branxton - Greta - Pokolbin"
"1276","LOVEDALE",2325,106011107,"Branxton - Greta - Pokolbin"
"1277","BELFORD LOWER",2335,106011107,"Branxton - Greta - Pokolbin"
"1278","LOWER BELFORD",2335,106011107,"Branxton - Greta - Pokolbin"
"1279","BELFORD",2335,106011107,"Branxton - Greta - Pokolbin"
"1280","N ROTHBURY",2335,106011107,"Branxton - Greta - Pokolbin"
"1281","NORTH ROTHBURY",2335,106011107,"Branxton - Greta - Pokolbin"
"1282","ROTHBURY NORTH",2335,106011107,"Branxton - Greta - Pokolbin"
"1283","OSWALD",2321,106011107,"Branxton - Greta - Pokolbin"
"1284","POKOLBIN",2320,106011107,"Branxton - Greta - Pokolbin"
"1285","ROTHBURY",2320,106011107,"Branxton - Greta - Pokolbin"
"1286","ROTHBURY NORTH",2320,106011107,"Branxton - Greta - Pokolbin"
"1287","ALLANDALE",2320,106011107,"Branxton - Greta - Pokolbin"
"1288","BRANXTON",2335,106011107,"Branxton - Greta - Pokolbin"
"1289","BRANXTON EAST",2335,106011107,"Branxton - Greta - Pokolbin"
"1290","ELDERSLIE (BRANXTON)",2335,106011107,"Branxton - Greta - Pokolbin"
"1291","BROKEN HILL",2880,105021097,"Broken Hill"
"1292","BROKEN HILL NORTH",2880,105021097,"Broken Hill"
"1293","BROKEN HILL WEST",2880,105021097,"Broken Hill"
"1294","INKERMAN",2880,105021097,"Broken Hill"
"1295","KIMBERLEY",2880,105021097,"Broken Hill"
"1296","LIMESTONE",2880,105021097,"Broken Hill"
"1297","NETLEY",2880,105021097,"Broken Hill"
"1298","NORTH BROKEN HILL",2880,105021097,"Broken Hill"
"1299","SCARSDALE",2880,105021097,"Broken Hill"
"1300","TALTINGAN",2880,105021097,"Broken Hill"
"1301","WEST BROKEN HILL",2880,105021097,"Broken Hill"
"1302","MOSSY POINT",2537,101041021,"Broulee - Tomakin"
"1303","MOSSY PT",2537,101041021,"Broulee - Tomakin"
"1304","BARLINGS BEACH",2537,101041021,"Broulee - Tomakin"
"1305","KINGSTON BEACH",2537,101041021,"Broulee - Tomakin"
"1306","TOMAKIN",2537,101041021,"Broulee - Tomakin"
"1307","TOMAKIN BEACH",2537,101041021,"Broulee - Tomakin"
"1308","BENGELLO BEACH",2537,101041021,"Broulee - Tomakin"
"1309","BENJELLO BEACH",2537,101041021,"Broulee - Tomakin"
"1310","BROULEE",2537,101041021,"Broulee - Tomakin"
"1311","BROULEE BEACH",2537,101041021,"Broulee - Tomakin"
"1312","NEW BRIGHTON",2483,112011239,"Brunswick Heads - Ocean Shores"
"1313","GOLDEN BEACH SOUTH",2483,112011239,"Brunswick Heads - Ocean Shores"
"1314","NORTH OCEAN SHORES",2483,112011239,"Brunswick Heads - Ocean Shores"
"1315","OCEAN SHORES",2483,112011239,"Brunswick Heads - Ocean Shores"
"1316","OCEAN SHORES NORTH",2483,112011239,"Brunswick Heads - Ocean Shores"
"1317","S GOLDEN BEACH",2483,112011239,"Brunswick Heads - Ocean Shores"
"1318","SOUTH GOLDEN BEACH",2483,112011239,"Brunswick Heads - Ocean Shores"
"1319","TYAGARAH",2481,112011239,"Brunswick Heads - Ocean Shores"
"1320","BRUNSWICK HEADS",2483,112011239,"Brunswick Heads - Ocean Shores"
"1321","HALEKULANI",2262,102021046,"Budgewoi - Buff Point - Halekulani"
"1322","BUDGEWOI",2262,102021046,"Budgewoi - Buff Point - Halekulani"
"1323","BIRDIE BEACH",2262,102021046,"Budgewoi - Buff Point - Halekulani"
"1324","BUDGEWOI BEACH",2262,102021046,"Budgewoi - Buff Point - Halekulani"
"1325","BUDGEWOI PENINSULA",2262,102021046,"Budgewoi - Buff Point - Halekulani"
"1326","BUFF POINT",2262,102021046,"Budgewoi - Buff Point - Halekulani"
"1327","BUFF PT",2262,102021046,"Budgewoi - Buff Point - Halekulani"
"1328","CRAWFORD RIVER",2423,108011151,"Bulahdelah - Stroud"
"1329","GIRVAN",2425,108011151,"Bulahdelah - Stroud"
"1330","ROSE HILL",2425,108011151,"Bulahdelah - Stroud"
"1331","LIMEBURNERS CREEK",2324,108011151,"Bulahdelah - Stroud"
"1332","FLAT ROCK",2423,108011151,"Bulahdelah - Stroud"
"1333","MARKWELL",2423,108011151,"Bulahdelah - Stroud"
"1334","MAYERS FLAT",2423,108011151,"Bulahdelah - Stroud"
"1335","MONKERAI",2415,108011151,"Bulahdelah - Stroud"
"1336","UPPER MONKERAI",2415,108011151,"Bulahdelah - Stroud"
"1337","MUNGO BEACH",2423,108011151,"Bulahdelah - Stroud"
"1338","MUNGO BRUSH",2423,108011151,"Bulahdelah - Stroud"
"1339","MYALL LAKE",2423,108011151,"Bulahdelah - Stroud"
"1340","MYALL LAKES",2423,108011151,"Bulahdelah - Stroud"
"1341","NERONG",2423,108011151,"Bulahdelah - Stroud"
"1342","TAMBOY",2423,108011151,"Bulahdelah - Stroud"
"1343","NOOROO",2415,108011151,"Bulahdelah - Stroud"
"1344","STROUD",2425,108011151,"Bulahdelah - Stroud"
"1345","STROUD ROAD",2415,108011151,"Bulahdelah - Stroud"
"1346","TELEGHERRY",2415,108011151,"Bulahdelah - Stroud"
"1347","TERREEL",2422,108011151,"Bulahdelah - Stroud"
"1348","THE BRANCH",2425,108011151,"Bulahdelah - Stroud"
"1349","TOPI TOPI",2423,108011151,"Bulahdelah - Stroud"
"1350","KARUAH RIVER UPPER",2415,108011151,"Bulahdelah - Stroud"
"1351","UPPER KARUAH RIVER",2415,108011151,"Bulahdelah - Stroud"
"1352","MYALL UPPER",2423,108011151,"Bulahdelah - Stroud"
"1353","UPPER MYALL",2423,108011151,"Bulahdelah - Stroud"
"1354","ALLWORTH",2425,108011151,"Bulahdelah - Stroud"
"1355","VIOLET HILL",2423,108011151,"Bulahdelah - Stroud"
"1356","JOHNSONS CREEK",2422,108011151,"Bulahdelah - Stroud"
"1357","WARDS RIVER",2422,108011151,"Bulahdelah - Stroud"
"1358","WARRANULLA",2423,108011151,"Bulahdelah - Stroud"
"1359","WASHPOOL",2425,108011151,"Bulahdelah - Stroud"
"1360","WEISMANTELS",2415,108011151,"Bulahdelah - Stroud"
"1361","FIONA BEACH",2423,108011151,"Bulahdelah - Stroud"
"1362","ONE HORSE SANDS",2423,108011151,"Bulahdelah - Stroud"
"1363","SHELLEY BEACH",2423,108011151,"Bulahdelah - Stroud"
"1364","SHELLY BEACH",2423,108011151,"Bulahdelah - Stroud"
"1365","SUBMARINE BEACH",2423,108011151,"Bulahdelah - Stroud"
"1366","YAGON",2423,108011151,"Bulahdelah - Stroud"
"1367","YAGON BEACH",2423,108011151,"Bulahdelah - Stroud"
"1368","BOMBAH POINT",2423,108011151,"Bulahdelah - Stroud"
"1369","BOMBAH PT",2423,108011151,"Bulahdelah - Stroud"
"1370","BOOLAMBAYTE",2423,108011151,"Bulahdelah - Stroud"
"1371","BOORAL",2425,108011151,"Bulahdelah - Stroud"
"1372","BULAHDELAH",2423,108011151,"Bulahdelah - Stroud"
"1373","ROSENTHAL",2423,108011151,"Bulahdelah - Stroud"
"1374","BULBY BRUSH",2429,108011151,"Bulahdelah - Stroud"
"1375","BUNYAH",2429,108011151,"Bulahdelah - Stroud"
"1376","CROYDON",2132,120031391,"Burwood - Croydon"
"1377","CROYDON PARK",2132,120031391,"Burwood - Croydon"
"1378","BURWOOD",2134,120031391,"Burwood - Croydon"
"1379","BURWOOD NORTH",2134,120031391,"Burwood - Croydon"
"1380","BROKEN HEAD BEACH",2481,112011240,"Byron Bay"
"1381","SUFFOLK PARK",2481,112011240,"Byron Bay"
"1382","TALLOW BEACH",2481,112011240,"Byron Bay"
"1383","BRAYS BEACH",2481,112011240,"Byron Bay"
"1384","BROKEN HEAD",2481,112011240,"Byron Bay"
"1385","KINGS BEACH",2481,112011240,"Byron Bay"
"1386","SEVEN MILE BEACH",2481,112011240,"Byron Bay"
"1387","BANGALOW",2481,112011240,"Byron Bay"
"1388","BELONGIL BEACH",2481,112011240,"Byron Bay"
"1389","BYRON BAY",2481,112011240,"Byron Bay"
"1390","CLARKES BEACH",2481,112011240,"Byron Bay"
"1391","CLARKS BEACH",2481,112011240,"Byron Bay"
"1392","LITTLE BEACH",2481,112011240,"Byron Bay"
"1393","LITTLE WATEGOS BEACH",2481,112011240,"Byron Bay"
"1394","MAIN BEACH",2481,112011240,"Byron Bay"
"1395","WATEGOS BEACH",2481,112011240,"Byron Bay"
"1396","LANSVALE",2166,127021511,"Cabramatta - Lansvale"
"1397","CABRAMATTA",2166,127021511,"Cabramatta - Lansvale"
"1398","MOUNT PRITCHARD",2170,127021512,"Cabramatta West - Mount Pritchard"
"1399","MT PRITCHARD",2170,127021512,"Cabramatta West - Mount Pritchard"
"1400","CABRAMATTA WEST",2166,127021512,"Cabramatta West - Mount Pritchard"
"1401","WEST CABRAMATTA",2166,127021512,"Cabramatta West - Mount Pritchard"
"1402","GLENWORTH VALLEY",2250,102011030,"Calga - Kulnura"
"1403","DONOVANS FOREST",2250,102011030,"Calga - Kulnura"
"1404","GREENGROVE",2250,102011030,"Calga - Kulnura"
"1405","GUNDERMAN",2775,102011030,"Calga - Kulnura"
"1406","BAR POINT",2083,102011030,"Calga - Kulnura"
"1407","BAR PT",2083,102011030,"Calga - Kulnura"
"1408","BIG JIMS POINT",2083,102011030,"Calga - Kulnura"
"1409","KULNURA",2250,102011030,"Calga - Kulnura"
"1410","LITTLE WOBBY",2256,102011030,"Calga - Kulnura"
"1411","LITTLE WOBBY BEACH",2256,102011030,"Calga - Kulnura"
"1412","LOWER MANGROVE",2250,102011030,"Calga - Kulnura"
"1413","MANGROVE LOWER",2250,102011030,"Calga - Kulnura"
"1414","MANGROVE CREEK",2250,102011030,"Calga - Kulnura"
"1415","MANGROVE MOUNTAIN",2250,102011030,"Calga - Kulnura"
"1416","MARLOW",2775,102011030,"Calga - Kulnura"
"1417","MOONEY MOONEY",2083,102011030,"Calga - Kulnura"
"1418","MOONEY MOONEY CREEK",2250,102011030,"Calga - Kulnura"
"1419","MOUNT WHITE",2250,102011030,"Calga - Kulnura"
"1420","MT WHITE",2250,102011030,"Calga - Kulnura"
"1421","PEATS RIDGE",2250,102011030,"Calga - Kulnura"
"1422","SOMERSBY",2250,102011030,"Calga - Kulnura"
"1423","SPENCER",2775,102011030,"Calga - Kulnura"
"1424","TEN MILE HOLLOW",2250,102011030,"Calga - Kulnura"
"1425","MANGROVE UPPER",2250,102011030,"Calga - Kulnura"
"1426","UPPER MANGROVE",2250,102011030,"Calga - Kulnura"
"1427","WENDOREE PARK",2250,102011030,"Calga - Kulnura"
"1428","WONDABYNE",2256,102011030,"Calga - Kulnura"
"1429","CALGA",2250,102011030,"Calga - Kulnura"
"1430","CENTRAL MANGROVE",2250,102011030,"Calga - Kulnura"
"1431","MANGROVE CENTRAL",2250,102011030,"Calga - Kulnura"
"1432","CHEERO POINT",2083,102011030,"Calga - Kulnura"
"1433","CHEERO PT",2083,102011030,"Calga - Kulnura"
"1434","COGRA BAY",2083,102011030,"Calga - Kulnura"
"1435","COMBERTON",2540,114011273,"Callala Bay - Currarong"
"1436","CURRARONG",2540,114011273,"Callala Bay - Currarong"
"1437","CURRARONG BEACH",2540,114011273,"Callala Bay - Currarong"
"1438","KINGHORNE",2540,114011273,"Callala Bay - Currarong"
"1439","WARRAIN BEACH",2540,114011273,"Callala Bay - Currarong"
"1440","ABRAHAMS BOSOM BEACH",2540,114011273,"Callala Bay - Currarong"
"1441","BEECROFT PENINSULA",2540,114011273,"Callala Bay - Currarong"
"1442","BINDIJINE BEACH",2540,114011273,"Callala Bay - Currarong"
"1443","CABBAGE TREE BEACH",2540,114011273,"Callala Bay - Currarong"
"1444","LONG BEACH",2540,114011273,"Callala Bay - Currarong"
"1445","TARGET BEACH",2540,114011273,"Callala Bay - Currarong"
"1446","WILSONS BEACH",2540,114011273,"Callala Bay - Currarong"
"1447","MYOLA",2540,114011273,"Callala Bay - Currarong"
"1448","WOLLUMBOOLA",2540,114011273,"Callala Bay - Currarong"
"1449","CALLALA BAY",2540,114011273,"Callala Bay - Currarong"
"1450","CALLALA BEACH",2540,114011273,"Callala Bay - Currarong"
"1451","WERRINGTON COUNTY",2747,124031457,"Cambridge Park"
"1452","WERRINGTON DOWNS",2747,124031457,"Cambridge Park"
"1453","CAMBRIDGE GARDENS",2747,124031457,"Cambridge Park"
"1454","CAMBRIDGE PARK",2747,124031457,"Cambridge Park"
"1455","ELLIS LANE",2570,123011433,"Camden - Ellis Lane"
"1456","WEST CAMDEN",2570,123011433,"Camden - Ellis Lane"
"1457","GRASMERE",2570,123011433,"Camden - Ellis Lane"
"1458","GRASSMERE",2570,123011433,"Camden - Ellis Lane"
"1459","BICKLEY VALE",2570,123011433,"Camden - Ellis Lane"
"1460","CAMDEN",2570,123011433,"Camden - Ellis Lane"
"1461","CAMDEN PARK",2570,123011433,"Camden - Ellis Lane"
"1462","CAMDEN SOUTH",2570,123011433,"Camden - Ellis Lane"
"1463","SOUTH CAMDEN",2570,123011433,"Camden - Ellis Lane"
"1464","BLAIR ATHOL",2560,123021437,"Campbelltown - Woodbine"
"1465","WOODBINE",2560,123021437,"Campbelltown - Woodbine"
"1466","CAMPBELLTOWN",2560,123021437,"Campbelltown - Woodbine"
"1467","CANLEY HEIGHTS",2166,127021513,"Canley Vale - Canley Heights"
"1468","CANLEY VALE",2166,127021513,"Canley Vale - Canley Heights"
"1469","HURLSTON PARK",2193,120031392,"Canterbury (North) - Ashbury"
"1470","HURLSTONE PAR",2193,120031392,"Canterbury (North) - Ashbury"
"1471","HURLSTONE PARK",2193,120031392,"Canterbury (North) - Ashbury"
"1472","ASHBURY",2193,120031392,"Canterbury (North) - Ashbury"
"1473","CAMPSIE",2194,119021363,"Canterbury (South) - Campsie"
"1474","CANTERBURY",2193,119021363,"Canterbury (South) - Campsie"
"1475","CLEMTON PARK",2206,119021363,"Canterbury (South) - Campsie"
"1476","CARINGBAH",2229,128011602,"Caringbah"
"1477","CARINGBAH SOUTH",2229,128011603,"Caringbah South"
"1478","CARLINGFORD",2118,125021476,"Carlingford"
