"","NAME","State","Postcode","Cardiac.ARIA"
"1418","LOWER COLDSTREAM","NSW","2462","3A"
"1419","LOWER CREEK","NSW","2440","6A"
"1420","LOWER DUCK CREEK","NSW","2469","5B"
"1421","LOWER DYRAABA","NSW","2470","4A"
"1422","LOWER HAWKESBURY","NSW","2775","6A"
"1423","LOWER LEWIS PONDS","NSW","2800","1A"
"1424","LOWER MACDONALD","NSW","2775","6A"
"1425","LOWER MANGROVE","NSW","2250","1A"
"1426","LYNCHS CREEK","NSW","2474","5A"
"1427","LYNDALE","NSW","2833","6C"
"1428","LYNDHURST","NSW","2350","6A"
"1429","LYNDHURST","NSW","2797","6A"
"1430","LYNDON","NSW","2832","6C"
"1431","LYNWOOD","NSW","2477","2A"
"1432","LYSAGHTS","NSW","2505","1A"
"1433","MABINS WELL","NSW","2716","6C"
"1434","MACDONALDS CREEK","NSW","2339","6B"
"1435","MAIMURU","NSW","2594","5A"
"1436","MAIN ARM","NSW","2482","4A"
"1437","MAIN CREEK","NSW","2420","5A"
"1438","MAIRJIMMY","NSW","2716","5A"
"1439","MAISON DIEU","NSW","2330","4A"
"1440","MAITLAND","NSW","2320","1A"
"1441","MAITLAND BAR","NSW","2850","6A"
"1442","MAITLAND VALE","NSW","2320","3A"
"1443","MAJORS CREEK","NSW","2622","5A"
"1444","MALABAR","NSW","2832","6C"
"1445","MALABAR","NSW","2036","1A"
"1446","MALABUGILMAH","NSW","2460","6A"
"1447","MALDON","NSW","2571","1A"
"1448","MALEBO","NSW","2650","1A"
"1449","MALLABULA","NSW","2319","3A"
"1450","MALLAN","NSW","3586","6A"
"1451","MALLANGANEE","NSW","2469","6A"
"1452","MALLOWA","NSW","2400","6A"
"1453","MALONEYS BEACH","NSW","2536","4A"
"1454","MANNUS","NSW","2653","5A"
"1455","MANOBALAI","NSW","2333","6B"
"1456","MANTON","NSW","2582","5A"
"1457","MANYANA","NSW","2539","4A"
"1458","MARAGLE","NSW","2653","6C"
"1459","MARAYLYA","NSW","2765","1A"
"1460","MARAYONG","NSW","2148","1A"
"1461","MARCH","NSW","2800","1A"
"1462","MARCHMONT","NSW","2582","5A"
"1463","MARDI","NSW","2259","1A"
"1464","MAROUBRA JUNCTION","NSW","2035","1A"
"1465","MARRANGAROO","NSW","2790","4A"
"1466","MARRAR","NSW","2652","5A"
"1467","MARRICKVILLE","NSW","2204","1A"
"1468","MARRICKVILLE SOUTH","NSW","2204","1A"
"1469","MARSDEN PARK","NSW","2765","1A"
"1470","MARSFIELD","NSW","2122","1A"
"1471","MARSHALL MOUNT","NSW","2530","1A"
"1472","MARSHDALE","NSW","2420","5A"
"1473","MARTHAGUY","NSW","2824","6B"
"1474","MARTINDALE","NSW","2328","6B"
"1475","MARTINS CREEK","NSW","2420","5A"
"1476","MARTINSVILLE","NSW","2265","2A"
