Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"SEXP Sex","Male","Female","Total",
"Strathfield South",1736,1807,3542,
"Chatswood (East) - Artarmon",13629,15057,28683,
"Chatswood (West) - Lane Cove North",10094,10762,20857,
"Lane Cove - Greenwich",13172,13565,26733,
"St Leonards - Naremburn",5096,5404,10500,
"Willoughby - Castle Cove - Northbridge",12333,13135,25463,
"Asquith - Mount Colah",8994,9297,18291,
"Berowra - Brooklyn - Cowan",5820,5872,11699,
"Normanhurst - Thornleigh - Westleigh",9023,9510,18531,
"Hornsby - East",5751,6044,11798,
"Hornsby - West",5280,5403,10684,
"Waitara - Wahroonga (West)",4624,4978,9602,
"Gordon - Killara",10242,11090,21328,
"Lindfield - Roseville",11236,11917,23147,
"Pymble",7766,8587,16354,
"St Ives",9785,10668,20456,
"Turramurra",9178,10084,19267,
"Wahroonga (East) - Warrawee",8612,9213,17822,
"Cremorne - Cammeray",8852,10225,19084,
"Crows Nest - Waverton",8463,9560,18026,
"Mosman",13191,15291,28476,
"Neutral Bay - Kirribilli",8365,9490,17852,
"North Sydney - Lavender Bay",5266,5440,10703,
"Balgowlah - Clontarf - Seaforth",9708,10475,20188,
"Manly - Fairlight",10672,11033,21704,
"Avalon - Palm Beach",6052,6327,12374,
"Bayview - Elanora Heights",5239,5507,10745,
"Newport - Bilgola",6492,6686,13186,
"Warriewood - Mona Vale",11680,12455,24134,
"Beacon Hill - Narraweena",6784,7101,13882,
"Cromer",3608,3876,7485,
"Dee Why - North Curl Curl",12277,12678,24949,
"Forestville - Killarney Heights",6180,6616,12796,
"Frenchs Forest - Belrose",12359,12813,25171,
"Freshwater - Brookvale",10433,10543,20978,
"Manly Vale - Allambie Heights",8211,8656,16870,
"Narrabeen - Collaroy",12005,12768,24771,
"Terrey Hills - Duffys Forest",1797,1847,3648,
"Camden - Ellis Lane",6191,6769,12963,
"Elderslie - Harrington Park",10216,10761,20980,
"Mount Annan - Currans Hill",13956,14617,28576,
"Bradbury - Wedderburn",9185,9785,18962,
"Campbelltown - Woodbine",8991,9198,18194,
"Claymore - Eagle Vale - Raby",10021,10383,20405,
"Holsworthy Military Area",0,0,0,
"Ingleburn - Denham Court",10044,9941,19985,
"Leumeah - Minto Heights",8138,8401,16541,
"Macquarie Fields - Glenfield",11438,12119,23556,
"Minto - St Andrews",9874,10010,19887,
"Rosemeadow - Glen Alpine",10146,10729,20876,
"Bargo",2890,2855,5740,
"Douglas Park - Appin",4888,4739,9625,
"Picton - Tahmoor - Buxton",8252,8535,16786,
"The Oaks - Oakdale",4493,4504,8997,
"Blackheath - Megalong Valley",2688,2871,5560,
"Blaxland - Warrimoo - Lapstone",9339,9607,18936,
"Blue Mountains - North",7,6,12,
"Katoomba - Leura",6305,6915,13222,
