Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HSCP Highest Year of School Completed"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HSCP Highest Year of School Completed","Year 12 or equivalent","Year 11 or equivalent","Year 10 or equivalent","Year 9 or equivalent","Year 8 or below","Did not go to school","Not stated","Not applicable","Total",
"SA2 (UR)",
"Ballina",5310,978,4460,1403,858,46,1744,2312,17115,
"Ballina Region",5817,961,3989,1066,657,35,1198,3103,16835,
"Bangalow",2484,287,917,176,106,11,615,1063,5670,
"Brunswick Heads - Ocean Shores",3274,559,1612,400,196,12,772,1378,8212,
"Byron Bay",4381,527,1365,289,150,13,1421,1359,9503,
"Evans Head",1299,320,1482,469,283,9,516,841,5219,
"Lennox Head - Skennars Head",3349,473,1486,371,153,10,400,1497,7741,
"Mullumbimby",3109,476,1438,324,213,25,962,1454,7994,
"Casino",2442,708,3461,1144,902,45,1035,2496,12231,
"Casino Region",1520,418,1965,593,493,13,682,1279,6972,
"Goonellabah",4106,723,3271,908,613,29,1011,2472,13122,
"Kyogle",1887,465,2020,559,426,19,733,1217,7312,
"Lismore",4961,902,3642,1046,747,52,1331,2599,15282,
"Lismore Region",5323,919,3515,804,491,25,1259,2696,15028,
"Kingscliff - Fingal Head",4740,774,2836,729,450,19,1188,2420,13150,
"Murwillumbah",2496,578,2211,615,495,29,825,1689,8942,
"Murwillumbah Region",3054,622,2373,578,352,17,975,1679,9653,
"Pottsville",4352,790,3103,740,467,21,959,2748,13181,
"Tweed Heads",6117,1330,5090,1357,828,43,2031,2618,19418,
"Banora Point",4958,1061,4266,1179,733,30,966,2440,15636,
"Terranora - North Tumblegum",1184,230,730,176,84,3,149,684,3249,
"Tweed Heads South",2167,535,2201,730,585,36,843,1045,8146,
"Griffith (NSW)",5303,1060,4278,1175,1269,255,1879,3934,19143,
"Griffith Region",3157,770,3233,897,765,62,1225,2776,12880,
"Leeton",2250,637,2717,796,601,33,995,2051,10086,
"Narrandera",1319,352,1531,514,362,26,751,1178,6034,
"Tumbarumba",850,276,828,268,194,7,461,561,3445,
"Tumut",1476,401,1593,507,351,22,729,1191,6275,
"Tumut Region",1224,299,1268,370,241,23,438,855,4715,
"Cootamundra",1946,423,2114,646,504,20,617,1294,7566,
"Gundagai",895,201,951,307,185,13,321,724,3596,
"Junee",1315,318,1411,428,265,15,1381,1108,6245,
"Temora",1524,375,1931,646,410,14,544,1275,6717,
"Wagga Wagga - East",5765,1034,3812,1044,564,44,822,3498,16585,
"Wagga Wagga - North",2065,206,770,181,109,8,236,822,4404,
"Wagga Wagga - South",6798,1307,4845,1461,886,101,1198,4668,21266,
"Wagga Wagga - West",4508,690,2513,807,530,42,1106,1966,12155,
"Wagga Wagga Region",4199,864,3631,1027,623,20,1272,3181,14819,
"Berry - Kangaroo Valley",3242,426,2152,643,261,16,817,1236,8788,
"Callala Bay - Currarong",1070,209,1036,298,186,6,294,511,3611,
"Culburra Beach",1260,265,1461,519,298,8,503,642,4962,
"Ettrema - Sassafras - Budawang",23,3,7,0,3,0,11,7,54,
"Huskisson - Vincentia",1598,264,986,298,155,13,331,547,4194,
"North Nowra - Bomaderry",4847,928,3981,1272,649,35,1169,2870,15759,
"Nowra",5038,1191,4679,1595,938,45,2569,3984,20040,
"St Georges Basin - Erowal Bay",3251,841,4087,1489,828,36,1119,2347,14006,
"Sussex Inlet - Berrara",941,239,1479,512,293,3,385,486,4345,
"Tomerong - Wandandian - Woollamia",986,211,988,256,147,6,234,574,3405,
"Ulladulla",4430,860,4261,1326,693,38,1321,2355,15279,
"Ulladulla Region",1502,259,1502,402,191,15,467,728,5063,
"Bowral",5872,724,2484,639,324,25,862,2015,12948,
"Hill Top - Colo Vale",1684,376,1702,412,185,10,301,1353,6026,
"Mittagong",3250,546,2016,569,280,26,807,1517,8999,
"Moss Vale - Berrima",3309,610,2354,666,354,33,659,1819,9801,
"Robertson - Fitzroy Falls",1374,177,737,172,85,0,300,658,3506,
"Southern Highlands",2724,316,1483,372,143,10,499,1037,6585,
"Baulkham Hills (East)",11750,882,3054,785,483,86,877,5022,22943,
"Baulkham Hills (West) - Bella Vista",11189,825,2634,593,313,91,499,3929,20068,
"Glenhaven",3122,265,1120,287,91,16,215,1134,6253,
"West Pennant Hills",7691,498,1315,380,204,56,298,2203,12640,
"Castle Hill - Central",4174,287,957,250,112,19,236,1574,7609,
"Castle Hill - East",2810,211,710,239,130,24,675,799,5594,
"Castle Hill - North",6464,498,1553,416,212,63,371,2314,11886,
"Castle Hill - South",5339,359,1062,290,152,65,278,1973,9519,
"Castle Hill - West",2986,190,552,143,79,27,140,1117,5239,
"Cherrybrook",11195,749,1869,542,323,79,587,3429,18768,
"Kellyville",11838,994,3053,740,381,90,623,5511,23231,
"Dural - Kenthurst - Wisemans Ferry",9318,989,3972,1004,586,109,1052,3990,21019,
"Galston - Laughtondale",2319,257,1018,264,133,28,229,971,5210,
"Bilpin - Colo - St Albans",855,130,657,157,87,0,351,452,2691,
"Kurrajong Heights - Ebenezer",7194,1169,5743,1401,621,45,1296,4426,21898,
"Pitt Town - McGraths Hill",3254,563,2931,652,336,35,486,2278,10531,
"Rouse Hill - Beaumont Hills",10763,965,3182,757,417,67,658,5847,22651,
"Blacktown (East) - Kings Park",8067,624,2280,652,633,188,1047,3437,16920,
"Blacktown (North) - Marayong",7505,832,3033,996,866,212,877,3707,18024,
"Doonside - Woodcroft",10689,934,3111,934,875,225,1070,4690,22526,
"Lalor Park - Kings Langley",10509,1106,4611,1209,873,157,1460,4961,24874,
"Seven Hills - Toongabbie",10647,1040,3859,1087,1025,231,1277,4752,23920,
"Blacktown (South)",5366,565,1942,555,517,136,646,2598,12325,
"Blacktown (West)",6977,739,2544,721,765,223,853,3321,16154,
"Glenwood",8717,660,1853,449,306,101,297,3749,16128,
"Parklea - Kellyville Ridge",16033,1130,3279,726,505,136,2019,8826,32645,
"Riverstone - Marsden Park",6550,751,3300,892,697,112,1101,3899,17307,
"Acacia Gardens",1979,169,457,108,62,19,101,898,3796,
"Quakers Hill",10969,949,3403,790,502,125,756,5448,22945,
"Bidwill - Hebersham - Emerton",4964,1077,3496,1380,1040,220,1605,4658,18439,
"Glendenning - Dean Park",3548,425,1283,355,276,68,327,2074,8354,
"Hassall Grove - Plumpton",9079,993,3288,843,624,156,915,4777,20673,
"Lethbridge Park - Tregear",5899,1112,3828,1402,1027,130,1812,5495,20705,
"Mount Druitt - Whalan",8507,1098,3293,1162,1199,389,1400,5656,22701,
"Prospect Reservoir",7,7,4,0,0,0,20,4,39,
"Rooty Hill - Minchinbury",9309,1009,3453,963,912,214,923,4364,21152,
"Banksmeadow",6,0,3,3,3,0,6,5,18,
"Botany",5038,452,1533,405,297,48,820,2227,10822,
"Mascot - Eastlakes",13695,826,2516,669,1110,370,1534,3693,24407,
"Pagewood - Hillsdale - Daceyville",5435,459,1465,442,493,145,946,1995,11374,
"Port Botany Industrial",0,0,4,0,0,0,0,0,11,
"Sydney Airport",22,6,7,0,0,0,28,0,61,
"Marrickville",14735,889,2285,607,1446,623,2165,3778,26540,
"Petersham - Stanmore",12304,633,1609,405,595,198,1778,2706,20234,
