Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by HOSD Housing Suitability"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2",
"Albury Region",0,0,15,87,496,1201,1486,624,133,136,112,256,4558,
"Lavington",0,0,26,144,998,2345,1856,457,60,162,170,433,6662,
"Hay",0,0,0,13,163,321,394,137,32,51,50,192,1352,
"Wentworth - Buronga",0,0,11,73,340,664,765,230,28,68,83,314,2594,
"Wentworth-Balranald Region",0,0,17,36,207,376,412,162,31,55,50,277,1614,
"Corowa",0,0,6,26,234,772,861,253,30,57,78,150,2482,
"Corowa Region",0,8,7,39,319,789,994,330,58,87,70,308,3008,
"Deniliquin",0,5,3,48,360,964,1066,361,46,96,89,374,3422,
"Deniliquin Region",0,4,7,51,288,714,964,389,90,91,88,319,2999,
"Moama",0,4,3,26,224,813,816,276,25,68,55,234,2537,
"Tocumwal - Finley - Jerilderie",0,5,11,68,461,1104,1431,482,74,118,129,486,4376,
"Armidale",3,11,44,204,1444,2663,2548,1014,220,319,203,673,9343,
"Armidale Region - North",0,0,4,36,243,486,575,238,46,62,34,149,1883,
"Armidale Region - South",0,0,8,40,315,630,841,334,77,83,58,154,2549,
"Walcha",0,0,0,21,148,343,454,170,48,75,45,159,1461,
"Glen Innes",4,0,14,73,513,1043,1254,421,57,122,113,339,3954,
"Inverell",3,0,39,126,784,1437,1440,563,80,154,152,330,5108,
"Inverell Region - East",3,11,15,53,318,534,624,215,44,82,62,206,2169,
"Inverell Region - West",0,0,10,56,338,640,782,324,64,103,75,267,2670,
"Tenterfield",0,5,15,55,433,785,989,313,69,83,96,392,3223,
"Moree",0,6,20,106,533,951,871,339,53,145,171,570,3757,
"Moree Region",13,3,15,61,301,483,523,263,98,113,69,293,2230,
"Narrabri",0,3,9,78,429,803,860,324,39,108,80,348,3090,
"Narrabri Region",0,7,3,39,282,489,522,208,60,87,62,250,2009,
"Gunnedah",0,0,16,68,490,1151,1191,460,49,122,107,274,3924,
"Gunnedah Region",5,0,4,45,198,429,501,216,69,89,40,172,1773,
"Quirindi",0,6,12,76,404,880,1102,359,64,109,79,279,3372,
"Tamworth - East",10,9,39,178,1196,2313,2653,1121,156,265,249,524,8714,
"Tamworth - North",8,7,16,119,839,1887,1831,719,129,186,192,554,6502,
"Tamworth - West",0,10,22,99,348,615,608,136,6,72,64,176,2158,
"Tamworth Region",4,0,31,156,848,1853,2448,1140,207,263,184,541,7675,
"Belmont - Bennetts Green",3,3,26,176,1236,2315,2093,742,94,260,143,188,7280,
"Belmont South - Blacksmiths",0,3,18,79,535,917,630,152,30,65,62,118,2617,
"Charlestown - Dudley",0,7,41,234,1660,3192,3105,768,115,354,173,301,9952,
"Glendale - Cardiff - Hillsborough",0,15,37,272,1507,3029,2884,854,107,326,133,258,9434,
"Mount Hutton - Windale",0,6,19,113,786,1219,1031,187,24,131,93,161,3769,
"Redhead",0,0,0,25,225,535,362,162,20,57,31,39,1449,
"Swansea - Caves Beach",0,0,16,110,785,1556,1403,534,79,173,123,175,4952,
"Valentine - Eleebana",0,0,12,43,391,1261,1627,882,95,145,68,76,4595,
"Warners Bay - Boolaroo",0,5,18,100,823,1872,1783,514,79,201,97,168,5661,
"Bolton Point - Teralba",0,10,24,125,654,1055,997,285,33,142,68,154,3542,
"Bonnells Bay - Silverwater",3,0,21,63,496,917,1117,617,64,126,58,101,3585,
"Edgeworth - Cameron Park",0,0,15,118,712,1544,1690,704,45,183,94,119,5231,
"Morisset - Cooranbong",3,16,27,149,890,1903,1633,697,129,263,166,280,6155,
"Toronto - Awaba",0,9,25,143,869,1686,1747,576,98,178,121,189,5634,
"Wangi Wangi - Rathmines",0,4,8,72,477,1019,1274,498,80,116,71,80,3699,
"West Wallsend - Barnsley - Killingworth",0,11,13,71,423,723,851,170,34,120,41,75,2526,
"Adamstown - Kotara",0,4,31,116,1158,2127,1865,529,84,226,99,99,6335,
"Beresfield - Hexham",0,14,27,135,606,1053,1165,184,26,136,64,156,3574,
"Hamilton - Broadmeadow",0,4,26,125,1265,1907,1223,203,46,222,147,277,5452,
"Lambton - New Lambton",0,9,30,175,1419,2648,1786,392,74,233,128,174,7073,
"Maryland - Fletcher - Minmi",0,4,29,97,595,1356,1698,650,56,230,65,85,4853,
"Mayfield - Warabrook",0,7,38,268,1625,2371,1497,238,37,197,154,259,6687,
"Merewether - The Junction",0,0,10,65,1185,1947,1483,436,63,269,112,189,5771,
"Newcastle - Cooks Hill",0,3,13,132,1528,1835,958,147,45,208,133,524,5531,
