Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by CHCAREP Unpaid Child Care"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"CHCAREP Unpaid Child Care","Did not provide child care","Cared for own child/children","Cared for other child/children","Cared for own child/children and other child/children","Not stated","Not applicable","Total",
"SA2 (UR)",
"Gunnedah Region",2067,615,262,20,377,797,4133,
"Quirindi",3952,1110,387,41,753,1442,7684,
"Tamworth - East",10066,3158,1427,146,1548,4022,20372,
"Tamworth - North",7727,2209,945,111,1226,2856,15077,
"Tamworth - West",2272,894,276,49,526,1535,5563,
"Tamworth Region",9169,2848,1070,125,1599,3660,18472,
"Belmont - Bennetts Green",8952,2905,1569,112,961,3229,17724,
"Belmont South - Blacksmiths",3111,802,471,51,329,847,5604,
"Charlestown - Dudley",12157,4128,1759,225,1123,4580,23965,
"Glendale - Cardiff - Hillsborough",11623,4175,1842,202,1016,4540,23387,
"Mount Hutton - Windale",4553,1335,628,54,585,1749,8901,
"Redhead",1753,569,306,20,225,652,3517,
"Swansea - Caves Beach",6300,1690,990,78,650,1838,11546,
"Valentine - Eleebana",5932,2054,1242,98,420,2246,11994,
"Warners Bay - Boolaroo",6958,2144,1235,93,650,2286,13371,
"Bolton Point - Teralba",4476,1224,698,59,612,1461,8523,
"Bonnells Bay - Silverwater",4505,1386,721,66,420,1628,8719,
"Edgeworth - Cameron Park",6127,2978,997,111,645,3339,14200,
"Morisset - Cooranbong",8472,2085,1004,86,950,2366,14963,
"Toronto - Awaba",7298,1865,1167,92,856,2138,13425,
"Wangi Wangi - Rathmines",4865,1368,775,53,404,1441,8897,
"West Wallsend - Barnsley - Killingworth",3086,1154,574,69,287,1313,6481,
"Adamstown - Kotara",7804,2937,1118,126,514,3105,15600,
"Beresfield - Hexham",4316,1188,720,66,524,1548,8358,
"Hamilton - Broadmeadow",6672,1679,802,94,784,1813,11847,
"Lambton - New Lambton",8293,3013,1143,120,687,3260,16526,
"Maryland - Fletcher - Minmi",5873,2914,958,119,410,3291,13570,
"Mayfield - Warabrook",8354,2221,912,90,1040,2259,14873,
"Merewether - The Junction",7260,2228,985,83,698,2366,13622,
"Newcastle - Cooks Hill",6875,1117,757,45,932,1036,10757,
"Newcastle Port - Kooragang",3,5,3,0,0,5,16,
"Shortland - Jesmond",7294,1255,591,66,755,1587,11544,
"Stockton - Fullerton Cove",3908,923,597,57,945,1052,7495,
"Wallsend - Elermore Vale",10675,2947,1498,118,1029,3351,19628,
"Waratah - North Lambton",6567,1768,720,82,1044,1883,12059,
"Wickham - Carrington - Tighes Hill",4552,1177,503,60,512,1199,8003,
"Ballina",9945,2063,1023,67,1709,2312,17115,
"Ballina Region",8786,2634,1022,117,1174,3103,16835,
"Bangalow",2687,991,282,53,592,1063,5670,
"Brunswick Heads - Ocean Shores",4242,1289,474,77,752,1378,8212,
"Byron Bay",4938,1279,477,48,1408,1359,9503,
"Evans Head",2870,684,302,28,496,841,5219,
"Lennox Head - Skennars Head",3812,1440,483,71,435,1497,7741,
"Mullumbimby",3734,1256,499,78,969,1454,7994,
"Casino",6281,1646,765,88,952,2496,12231,
"Casino Region",3693,920,386,33,657,1279,6972,
"Goonellabah",6829,1972,814,107,935,2472,13122,
