Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"Cowra",32,26,26,91,90,162,160,191,117,119,34,37,14,11,4,3,0,6,7,0,0,0,7,40,2948,4110,
"Cowra Region",86,12,3,30,23,57,49,51,28,25,6,14,8,0,0,0,0,0,3,0,0,0,0,25,1977,2409,
"Forbes",94,34,38,106,72,136,112,173,79,88,27,31,12,14,7,0,0,0,0,0,0,0,3,62,3240,4321,
"Grenfell",51,26,12,43,26,31,27,46,15,3,0,4,0,0,0,0,0,0,0,0,0,0,0,16,1318,1615,
"Parkes (NSW)",40,17,18,109,78,179,93,191,104,158,89,139,40,40,12,8,0,0,3,0,0,0,6,55,3251,4636,
"Parkes Region",53,17,22,58,24,31,18,24,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1171,1461,
"West Wyalong",108,34,15,45,19,83,25,49,46,34,11,11,7,3,5,3,0,0,0,0,3,0,0,33,2036,2579,
"Lithgow",44,34,19,140,56,115,124,186,135,241,137,161,52,58,16,24,10,15,0,0,0,0,0,61,4018,5646,
"Lithgow Region",36,18,3,30,22,37,46,49,28,52,20,34,10,36,7,8,0,3,0,0,3,0,4,22,3020,3489,
"Mudgee",47,9,5,25,19,100,50,128,65,144,114,256,119,190,79,125,26,81,9,0,4,0,0,57,3328,5005,
"Mudgee Region - East",50,9,5,25,19,47,41,62,16,34,26,22,0,6,0,0,0,0,0,0,0,0,0,13,1250,1630,
"Mudgee Region - West",132,27,11,28,18,58,58,78,43,69,56,70,19,27,6,16,4,13,4,0,0,0,5,39,3674,4455,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",63,9,11,34,26,46,34,99,51,102,30,54,30,24,8,4,0,5,3,0,0,0,0,27,2334,3003,
"Orange",55,46,43,203,91,203,188,341,208,408,260,358,121,155,53,60,11,32,6,0,3,0,3,97,5532,8478,
"Orange - North",35,10,24,61,29,77,81,141,106,195,142,271,168,305,198,185,79,101,27,3,0,0,8,74,5271,7587,
"Orange Region",107,32,16,42,11,53,34,72,36,77,37,44,12,37,7,16,0,15,4,4,0,0,5,52,3754,4474,
"Grafton",63,14,47,158,84,167,153,278,197,384,234,354,140,151,33,40,6,23,3,3,0,3,3,77,5545,8148,
"Grafton Region",137,20,14,39,32,48,41,87,51,127,53,112,28,60,10,17,3,10,8,0,0,0,0,47,5727,6683,
"Maclean - Yamba - Iluka",67,22,16,36,47,121,84,164,103,211,182,275,138,171,69,100,24,106,31,24,13,4,15,70,6218,8284,
"Bellingen",32,13,8,26,9,26,16,30,19,52,35,76,40,65,49,37,17,34,9,0,3,0,0,10,1920,2518,
"Coffs Harbour - North",49,21,14,177,49,94,102,202,163,236,205,235,159,235,203,160,95,232,38,11,6,0,8,88,5069,7840,
"Coffs Harbour - South",28,20,12,156,31,66,42,96,89,137,122,153,111,170,133,115,35,146,27,3,5,0,5,47,2770,4520,
"Coramba - Nana Glen - Bucca",14,0,0,4,8,17,4,12,7,29,9,21,17,32,19,20,5,19,4,0,0,0,0,3,1279,1524,
"Dorrigo",41,20,6,20,9,27,14,34,20,45,24,23,8,6,0,0,0,0,3,0,0,0,0,17,1199,1508,
"Korora - Emerald Beach",18,0,0,9,9,7,9,15,5,33,24,84,44,89,68,77,46,166,43,16,6,5,3,25,2856,3652,
"Sawtell - Boambee",62,17,17,96,41,86,81,137,119,151,159,201,132,268,193,165,51,166,34,12,5,0,4,102,6059,8372,
"Urunga",21,5,3,42,18,26,21,30,26,61,42,65,32,62,28,23,8,19,5,3,0,0,5,15,1695,2248,
"Woolgoolga - Arrawarra",33,6,8,35,26,52,38,70,51,130,95,188,95,146,82,129,44,80,21,4,0,0,7,49,4317,5724,
"Bourke - Brewarrina",86,109,134,59,40,71,63,51,14,18,4,18,0,0,0,0,0,3,0,5,0,0,6,38,1111,1829,
"Cobar",53,50,37,54,37,129,56,72,21,59,20,43,10,16,0,4,0,0,0,0,0,0,0,34,1367,2062,
