Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by IRSD Deciles at SA2 Level (Area)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"IRSD Deciles at SA2 Level (Area)","Decile 1","Decile 2","Decile 3","Decile 4","Decile 5","Decile 6","Decile 7","Decile 8","Decile 9","Decile 10","Not applicable","Total",
"Calga - Kulnura",0,0,0,0,0,4703,0,0,0,0,0,4703,
"Erina - Green Point",0,0,0,0,0,13950,0,0,0,0,0,13950,
"Gosford - Springfield",0,0,0,18802,0,0,0,0,0,0,0,18802,
"Kariong",0,0,0,0,0,0,6381,0,0,0,0,6381,
"Kincumber - Picketts Valley",0,0,0,0,7308,0,0,0,0,0,0,7308,
"Narara",0,0,0,0,0,6642,0,0,0,0,0,6642,
"Niagara Park - Lisarow",0,0,0,0,0,0,8027,0,0,0,0,8027,
"Point Clare - Koolewong",0,0,0,0,0,0,6207,0,0,0,0,6207,
"Saratoga - Davistown",0,0,0,0,0,0,0,6979,0,0,0,6979,
"Terrigal - North Avoca",0,0,0,0,0,0,0,0,13345,0,0,13345,
"Umina - Booker Bay - Patonga",0,0,23588,0,0,0,0,0,0,0,0,23588,
"Wamberal - Forresters Beach",0,0,0,0,0,0,0,0,9758,0,0,9758,
"Woy Woy - Blackwall",0,0,13928,0,0,0,0,0,0,0,0,13928,
"Wyoming",0,0,0,11434,0,0,0,0,0,0,0,11434,
"Bateau Bay - Killarney Vale",0,0,0,22010,0,0,0,0,0,0,0,22010,
"Blue Haven - San Remo",0,11044,0,0,0,0,0,0,0,0,0,11044,
"Budgewoi - Buff Point - Halekulani",0,0,9405,0,0,0,0,0,0,0,0,9405,
"Chittaway Bay - Tumbi Umbi",0,0,0,0,0,15353,0,0,0,0,0,15353,
"Gorokan - Kanwal - Charmhaven",0,22114,0,0,0,0,0,0,0,0,0,22114,
"Jilliby - Yarramalong",0,0,0,0,0,0,0,0,3352,0,0,3352,
"Lake Munmorah - Mannering Park",0,0,10730,0,0,0,0,0,0,0,0,10730,
"Ourimbah - Fountaindale",0,0,0,0,0,0,4860,0,0,0,0,4860,
"Summerland Point - Gwandalan",0,0,0,5765,0,0,0,0,0,0,0,5765,
"The Entrance",0,14942,0,0,0,0,0,0,0,0,0,14942,
"Toukley - Norah Head",0,9772,0,0,0,0,0,0,0,0,0,9772,
"Tuggerah - Kangy Angy",0,0,0,0,0,5301,0,0,0,0,0,5301,
"Warnervale - Wadalba",0,0,0,0,15219,0,0,0,0,0,0,15219,
"Wyong",8815,0,0,0,0,0,0,0,0,0,0,8815,
"Bathurst",0,0,0,23830,0,0,0,0,0,0,0,23830,
"Bathurst - East",0,0,0,11186,0,0,0,0,0,0,0,11186,
"Bathurst Region",0,0,0,0,0,0,6913,0,0,0,0,6913,
"Oberon",0,0,4663,0,0,0,0,0,0,0,0,4663,
"Condobolin",0,6637,0,0,0,0,0,0,0,0,0,6637,
"Cowra",0,9144,0,0,0,0,0,0,0,0,0,9144,
"Cowra Region",0,0,5449,0,0,0,0,0,0,0,0,5449,
"Forbes",0,0,10166,0,0,0,0,0,0,0,0,10166,
"Grenfell",0,0,3650,0,0,0,0,0,0,0,0,3650,
"Parkes (NSW)",0,10983,0,0,0,0,0,0,0,0,0,10983,
"Parkes Region",0,0,3383,0,0,0,0,0,0,0,0,3383,
"West Wyalong",0,0,0,5929,0,0,0,0,0,0,0,5929,
"Lithgow",12814,0,0,0,0,0,0,0,0,0,0,12814,
"Lithgow Region",0,0,8262,0,0,0,0,0,0,0,0,8262,
"Mudgee",0,0,0,11727,0,0,0,0,0,0,0,11727,
"Mudgee Region - East",3445,0,0,0,0,0,0,0,0,0,0,3445,
"Mudgee Region - West",0,0,10362,0,0,0,0,0,0,0,0,10362,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",0,0,0,7273,0,0,0,0,0,0,0,7273,
"Orange",0,19010,0,0,0,0,0,0,0,0,0,19010,
"Orange - North",0,0,0,0,0,19729,0,0,0,0,0,19729,
"Orange Region",0,0,0,0,0,0,11607,0,0,0,0,11607,
"Grafton",18673,0,0,0,0,0,0,0,0,0,0,18673,
"Grafton Region",0,15313,0,0,0,0,0,0,0,0,0,15313,
"Maclean - Yamba - Iluka",0,0,16283,0,0,0,0,0,0,0,0,16283,
"Bellingen",0,0,0,5803,0,0,0,0,0,0,0,5803,
"Coffs Harbour - North",0,0,17464,0,0,0,0,0,0,0,0,17464,
"Coffs Harbour - South",0,0,10294,0,0,0,0,0,0,0,0,10294,
"Coramba - Nana Glen - Bucca",0,0,0,0,0,3816,0,0,0,0,0,3816,
"Dorrigo",0,3245,0,0,0,0,0,0,0,0,0,3245,
"Korora - Emerald Beach",0,0,0,0,0,0,0,8740,0,0,0,8740,
"Sawtell - Boambee",0,0,19474,0,0,0,0,0,0,0,0,19474,
"Urunga",0,0,4667,0,0,0,0,0,0,0,0,4667,
"Woolgoolga - Arrawarra",0,0,12521,0,0,0,0,0,0,0,0,12521,
"Bourke - Brewarrina",4000,0,0,0,0,0,0,0,0,0,0,4000,
"Cobar",0,0,0,4657,0,0,0,0,0,0,0,4657,
"Coonamble",4113,0,0,0,0,0,0,0,0,0,0,4113,
"Nyngan - Warren",0,4971,0,0,0,0,0,0,0,0,0,4971,
"Walgett - Lightning Ridge",6413,0,0,0,0,0,0,0,0,0,0,6413,
