Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA2 (UR)",
"Warilla",174,138,885,1159,3450,5660,35,2479,669,2122,3650,20422,
"Balgownie - Fairy Meadow",1011,336,2573,1636,3015,5194,18,1713,728,1410,3561,21201,
"Corrimal - Tarrawanna - Bellambi",408,194,1402,1163,2576,3790,18,1533,485,1152,2699,15421,
"Figtree - Keiraville",1251,417,2953,1623,2757,4971,11,1387,705,1058,3955,21083,
"Helensburgh",356,162,1041,746,1455,1874,5,377,254,606,1912,8788,
"Thirroul - Austinmer - Coalcliff",919,346,1964,974,1399,2050,3,466,256,629,2304,11306,
"Woonona - Bulli - Russell Vale",836,397,2256,1635,3033,4239,12,1445,597,1235,4139,19840,
"Wollongong - East",1003,307,2484,1064,1606,3334,6,749,495,1894,1027,13968,
"Wollongong - West",1008,285,2495,1223,1947,4348,27,1146,536,1136,2554,16707,
"Bulahdelah - Stroud",53,41,251,293,801,1277,5,581,145,514,760,4725,
"Forster",186,153,990,1004,2358,3824,26,1549,482,1671,2014,14270,
"Forster-Tuncurry Region",109,48,375,416,1244,1466,7,533,182,660,1038,6085,
"Tuncurry",34,40,254,368,1121,1717,4,905,195,922,619,6182,
"Kempsey",85,87,606,622,2206,3570,34,1754,387,2507,2891,14756,
"Kempsey Region",110,82,588,558,1668,2271,17,991,252,1098,1397,9024,
"Macksville - Scotts Head",55,47,300,281,819,1190,9,543,150,567,839,4792,
"Nambucca Heads",57,68,370,411,1109,1842,14,786,225,956,920,6752,
"Nambucca Heads Region",93,88,591,492,1340,1872,16,718,236,798,1400,7665,
"South West Rocks",48,44,317,323,976,1379,9,622,178,561,679,5133,
"Lord Howe Island",9,3,44,27,78,95,0,8,20,44,51,381,
"Laurieton - Bonny Hills",230,188,1187,1220,3167,4308,24,1648,576,1802,2382,16743,
"Port Macquarie - East",695,487,2964,2360,4451,6924,31,1886,915,2416,4907,28050,
"Port Macquarie - West",254,145,1181,1311,2808,4647,27,1766,533,2000,2673,17326,
"Port Macquarie Region",70,73,389,385,1015,1259,10,467,144,609,876,5293,
"Wauchope",105,110,700,696,1998,2748,17,1020,290,1186,2266,11150,
"Gloucester",46,53,348,323,787,1289,4,653,174,538,814,5033,
"Old Bar - Manning Point - Red Head",211,167,905,857,1942,2492,15,825,385,970,1767,10531,
"Taree",173,162,1008,1192,3156,5412,38,2592,678,2389,3680,20478,
"Taree Region",135,123,748,839,2275,3223,18,1390,369,1537,1779,12444,
"Wingham",41,44,266,272,900,1487,10,704,152,556,944,5374,
"Albury - East",355,299,1704,1171,2481,3612,14,890,366,937,3215,15047,
"Albury - North",134,153,728,620,1714,2497,11,909,272,959,1844,9845,
