Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by STUP Full-Time/Part-Time Student Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"STUP Full-Time/Part-Time Student Status","Not attending","Full-time student","Part-time student","Institution (TYPP) stated, full-time/part-time status (STUP) not stated","Both not stated - both institution (TYPP) and full-time/part-time status (STUP) not stated","Total",
"SA2 (UR)",
"Glebe - Forest Lodge",12751,3704,1139,30,1993,19614,
"Newtown - Camperdown - Darlington",14560,6607,1427,28,2218,24840,
"Potts Point - Woolloomooloo",14349,1230,1009,14,4601,21200,
"Pyrmont - Ultimo",12560,5491,1329,32,2250,21655,
"Redfern - Chippendale",13329,5288,1246,21,2610,22495,
"Surry Hills",11558,1775,902,13,2163,16416,
"Sydney - Haymarket - The Rocks",14567,6766,2126,74,3879,27408,
"Waterloo - Beaconsfield",20814,7221,1647,50,3326,33061,
"Bondi - Tamarama - Bronte",12616,2776,1119,37,1855,18401,
"Bondi Beach - North Bondi",14183,2944,1184,36,2384,20729,
"Bondi Junction - Waverly",11259,2542,1029,21,2007,16853,
"Centennial Park",0,0,0,0,0,0,
"Double Bay - Bellevue Hill",17222,4106,1094,40,2404,24870,
"Dover Heights",7413,2265,482,14,662,10830,
"Paddington - Moore Park",10808,2036,847,13,1465,15171,
"Rose Bay - Vaucluse - Watsons Bay",7527,3028,456,33,803,11844,
"Woollahra",5429,1093,386,0,768,7686,
"Coogee - Clovelly",17651,4150,1487,29,2125,25455,
"Malabar - La Perouse - Chifley",15310,4446,903,41,3333,24036,
"Kensington (NSW)",7000,6133,645,28,1080,14887,
"Kingsford",7997,6214,615,20,761,15602,
"Maroubra - North",6846,2044,435,23,464,9812,
"Maroubra - South",7346,1949,575,32,783,10681,
"Maroubra - West",6499,2661,424,12,595,10195,
"Randwick - North",11900,2893,1016,26,1031,16874,
"Randwick - South",8429,2676,660,17,1336,13113,
"Bass Hill - Georges Hall",14699,4988,885,89,1172,21834,
"Chullora",596,187,40,0,73,900,
"Condell Park",7457,2747,445,51,607,11305,
"Greenacre - Mount Lewis",16540,6716,1136,82,1492,25964,
"Padstow",11827,3152,722,28,750,16475,
"Panania - Milperra - Picnic Point",18011,5464,1195,42,1085,25788,
"Revesby",11461,3300,635,40,786,16223,
"Yagoona - Birrong",13722,4841,846,69,1226,20706,
"Bankstown - North",10545,3655,822,55,1163,16237,
"Bankstown - South",10332,3565,696,47,1350,15993,
"Belmore - Belfield",13208,3950,832,43,1005,19033,
"Canterbury (South) - Campsie",21010,6624,1328,53,1602,30620,
