Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by LFSP Labour Force Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Total",
"SA2 (UR)",
"Nambucca Heads Region",1356,1244,188,159,98,2724,486,1400,7665,
"South West Rocks",840,614,136,85,48,2460,270,679,5133,
"Lord Howe Island",118,80,26,5,0,66,32,51,381,
"Laurieton - Bonny Hills",2895,2248,346,263,187,7457,964,2382,16743,
"Port Macquarie - East",6567,4386,549,441,354,9572,1266,4907,28050,
"Port Macquarie - West",3460,2329,339,253,183,7025,1078,2673,17326,
"Port Macquarie Region",1311,816,165,72,60,1524,469,876,5293,
"Wauchope",2420,1543,283,208,133,3725,572,2266,11150,
"Gloucester",971,716,125,103,38,1970,294,814,5033,
"Old Bar - Manning Point - Red Head",2018,1598,255,193,134,4049,510,1767,10531,
"Taree",3552,2627,455,518,288,8099,1262,3680,20478,
"Taree Region",2185,1786,328,268,179,5044,875,1779,12444,
"Wingham",989,699,176,137,63,2077,284,944,5374,
"Albury - East",4556,2518,347,198,199,3407,600,3215,15047,
"Albury - North",2484,1511,231,234,128,2739,662,1844,9845,
"Albury - South",2769,1649,254,194,127,2885,815,1611,10302,
"Albury Region",3111,1826,344,140,101,2897,637,2558,11611,
"Lavington",3343,2119,347,366,224,4588,900,2580,14473,
"Hay",814,398,95,30,30,775,308,518,2970,
"Wentworth - Buronga",1403,799,171,117,49,1772,502,1149,5965,
"Wentworth-Balranald Region",1055,447,111,49,27,847,376,694,3611,
"Corowa",1271,756,190,87,54,1863,369,890,5482,
"Corowa Region",1665,887,199,80,38,2144,532,1198,6742,
"Deniliquin",1847,1076,173,102,76,2285,605,1275,7434,
"Deniliquin Region",1902,931,216,67,38,1858,539,1199,6751,
"Moama",1485,798,161,57,35,1925,362,1020,5845,
"Tocumwal - Finley - Jerilderie",2244,1286,295,127,63,3190,831,1682,9728,
"Armidale",5482,3567,597,403,475,7210,1500,4126,23348,
"Armidale Region - North",1300,640,104,59,47,1121,302,924,4490,
"Armidale Region - South",1612,979,149,76,63,1678,326,1140,6023,
"Walcha",920,466,75,29,21,827,316,566,3226,
"Glen Innes",1841,1162,216,194,93,3134,685,1508,8832,
"Inverell",2641,1600,296,234,138,3734,646,2368,11660,
"Inverell Region - East",1096,641,120,124,53,1731,483,995,5235,
"Inverell Region - West",1498,711,154,78,49,1875,491,1128,5987,
"Tenterfield",1351,835,173,121,74,2383,648,1036,6624,
"Moree",2249,845,209,195,79,2090,823,1724,8203,
"Moree Region",1703,611,179,73,37,1074,498,1279,5451,
"Narrabri",2009,951,194,125,72,1720,583,1513,7170,
"Narrabri Region",1353,570,139,88,31,1064,480,1060,4797,
"Gunnedah",2491,1165,240,161,84,2552,559,1953,9191,
"Gunnedah Region",1264,544,109,74,37,1003,313,797,4133,
"Quirindi",1874,942,200,158,83,2410,579,1442,7684,
"Tamworth - East",5750,2864,497,363,199,5485,1188,4022,20372,
"Tamworth - North",4298,1974,381,244,163,4254,911,2856,15077,
"Tamworth - West",1229,613,100,168,76,1411,431,1535,5563,
"Tamworth Region",5184,2541,489,256,146,4971,1226,3660,18472,
"Belmont - Bennetts Green",4550,2721,384,320,242,5551,725,3229,17724,
"Belmont South - Blacksmiths",1289,830,123,120,87,2086,221,847,5604,
"Charlestown - Dudley",6519,3964,581,401,309,6767,850,4580,23965,
"Glendale - Cardiff - Hillsborough",6557,3791,550,422,352,6423,755,4540,23387,
"Mount Hutton - Windale",1857,1218,173,199,127,3127,452,1749,8901,
"Redhead",845,592,71,50,35,1101,175,652,3517,
"Swansea - Caves Beach",2589,1741,293,216,152,4256,463,1838,11546,
"Valentine - Eleebana",3217,2149,254,146,181,3488,313,2246,11994,
"Warners Bay - Boolaroo",3595,2196,311,231,173,4099,473,2286,13371,
"Bolton Point - Teralba",1949,1190,181,235,148,2849,515,1461,8523,
"Bonnells Bay - Silverwater",2117,1284,191,170,125,2915,282,1628,8719,
"Edgeworth - Cameron Park",4198,2158,353,225,157,3249,525,3339,14200,
"Morisset - Cooranbong",3270,2045,343,272,180,5775,710,2366,14963,
"Toronto - Awaba",2985,1986,317,273,181,4891,654,2138,13425,
"Wangi Wangi - Rathmines",2222,1327,207,164,125,3133,276,1441,8897,
"West Wallsend - Barnsley - Killingworth",1871,976,159,154,79,1722,207,1313,6481,
"Adamstown - Kotara",4526,2701,378,243,226,4057,349,3105,15600,
"Beresfield - Hexham",1908,1076,200,255,156,2829,391,1548,8358,
"Hamilton - Broadmeadow",3255,2116,302,269,190,3244,648,1813,11847,
"Lambton - New Lambton",4716,2866,404,246,229,4284,519,3260,16526,
"Maryland - Fletcher - Minmi",4194,2181,315,250,191,2844,293,3291,13570,
"Mayfield - Warabrook",4185,2402,357,388,260,4150,870,2259,14873,
"Merewether - The Junction",4372,2483,331,155,152,3208,550,2366,13622,
"Newcastle - Cooks Hill",3849,1862,256,188,174,2538,847,1036,10757,
"Newcastle Port - Kooragang",4,0,0,0,0,12,0,5,16,
"Shortland - Jesmond",1995,1906,310,272,522,4362,582,1587,11544,
"Stockton - Fullerton Cove",1679,894,156,120,77,2688,821,1052,7495,
"Wallsend - Elermore Vale",4948,2838,443,428,306,6389,913,3351,19628,
"Waratah - North Lambton",3107,2012,345,297,236,3277,888,1883,12059,
"Wickham - Carrington - Tighes Hill",2594,1460,184,181,122,1844,428,1199,8003,
"Ballina",3379,2610,350,255,185,6612,1405,2312,17115,
"Ballina Region",4004,2896,382,229,201,5092,919,3103,16835,
"Bangalow",1229,1203,153,66,66,1360,533,1063,5670,
"Brunswick Heads - Ocean Shores",1545,1691,213,161,137,2449,631,1378,8212,
"Byron Bay",2007,2039,258,148,117,2266,1306,1359,9503,
"Evans Head",1035,783,126,102,50,1884,400,841,5219,
"Lennox Head - Skennars Head",1973,1619,196,100,106,1912,336,1497,7741,
"Mullumbimby",1300,1633,210,148,107,2307,838,1454,7994,
"Casino",2291,1661,262,251,155,4407,715,2496,12231,
"Casino Region",1512,1001,172,135,57,2274,540,1279,6972,
"Goonellabah",3170,2057,248,217,182,4014,763,2472,13122,
"Kyogle",1447,1042,173,163,95,2631,550,1217,7312,
"Lismore",3246,2488,302,364,320,4849,1127,2599,15282,
"Lismore Region",3559,2848,400,252,202,4037,1041,2696,15028,
"Kingscliff - Fingal Head",2955,2250,272,199,158,3971,936,2420,13150,
"Murwillumbah",1718,1293,230,158,115,3117,615,1689,8942,
"Murwillumbah Region",2005,1669,257,171,115,2927,824,1679,9653,
"Pottsville",2904,2283,300,198,189,3759,798,2748,13181,
"Tweed Heads",3901,2941,424,364,283,7388,1495,2618,19418,
"Banora Point",3377,2545,302,237,180,5879,670,2440,15636,
"Terranora - North Tumblegum",824,623,95,51,54,817,100,684,3249,
"Tweed Heads South",1305,1102,165,143,92,3786,512,1045,8146,
"Griffith (NSW)",5564,2504,432,300,175,4639,1598,3934,19143,
"Griffith Region",3950,1823,450,168,80,2646,986,2776,12880,
"Leeton",2822,1180,259,135,91,2802,745,2051,10086,
"Narrandera",1531,700,177,106,41,1764,536,1178,6034,
"Tumbarumba",906,455,96,49,22,1131,230,561,3445,
"Tumut",1503,823,149,103,71,1856,577,1191,6275,
"Tumut Region",1288,619,169,66,35,1366,321,855,4715,
"Cootamundra",1710,940,162,122,60,2840,439,1294,7566,
"Gundagai",925,555,110,52,19,985,237,724,3596,
"Junee",1471,685,139,85,33,2304,424,1108,6245,
"Temora",1608,917,186,100,46,2212,373,1275,6717,
"Wagga Wagga - East",5026,2490,395,237,151,4168,627,3498,16585,
"Wagga Wagga - North",1307,743,159,38,89,1049,191,822,4404,
"Wagga Wagga - South",6406,3060,502,356,266,5157,852,4668,21266,
"Wagga Wagga - West",3650,1670,289,274,162,3280,866,1966,12155,
"Wagga Wagga Region",4552,2020,398,182,117,3338,1035,3181,14819,
"Berry - Kangaroo Valley",1863,1379,208,57,52,3392,597,1236,8788,
"Callala Bay - Currarong",700,492,70,56,47,1523,219,511,3611,
"Culburra Beach",971,627,128,84,55,2094,356,642,4962,
"Ettrema - Sassafras - Budawang",11,13,0,0,0,11,10,7,54,
"Huskisson - Vincentia",930,636,112,54,38,1640,241,547,4194,
"North Nowra - Bomaderry",3633,2454,357,239,151,5166,888,2870,15759,
"Nowra",4192,2525,445,408,247,6764,1469,3984,20040,
"St Georges Basin - Erowal Bay",2416,1792,281,272,167,5920,818,2347,14006,
"Sussex Inlet - Berrara",611,525,90,68,28,2315,220,486,4345,
"Tomerong - Wandandian - Woollamia",892,608,82,37,32,998,177,574,3405,
"Ulladulla",2632,2356,354,211,151,6222,997,2355,15279,
"Ulladulla Region",883,858,136,82,55,1981,340,728,5063,
"Bowral",2776,1948,245,97,104,5115,641,2015,12948,
"Hill Top - Colo Vale",1802,960,138,71,60,1395,244,1353,6026,
"Mittagong",2286,1474,192,79,72,2731,653,1517,8999,
"Moss Vale - Berrima",2570,1517,195,84,81,3039,490,1819,9801,
"Robertson - Fitzroy Falls",972,574,69,30,22,937,237,658,3506,
"Southern Highlands",1610,1147,141,57,46,2149,401,1037,6585,
"Baulkham Hills (East)",7446,3249,499,304,282,5554,587,5022,22943,
"Baulkham Hills (West) - Bella Vista",6802,3356,426,248,331,4599,379,3929,20068,
"Glenhaven",1846,1038,119,42,78,1833,161,1134,6253,
"West Pennant Hills",4207,2078,245,164,150,3360,228,2203,12640,
"Castle Hill - Central",2541,1147,136,87,103,1832,186,1574,7609,
"Castle Hill - East",1382,715,74,43,68,1893,620,799,5594,
"Castle Hill - North",3797,1926,191,153,172,3050,288,2314,11886,
"Castle Hill - South",3092,1496,153,117,134,2320,226,1973,9519,
"Castle Hill - West",1810,824,122,71,79,1120,100,1117,5239,
"Cherrybrook",5969,3011,370,253,273,5058,401,3429,18768,
"Kellyville",8109,3560,473,270,300,4505,501,5511,23231,
"Dural - Kenthurst - Wisemans Ferry",6493,3574,501,169,180,5250,861,3990,21019,
"Galston - Laughtondale",1536,907,108,46,45,1401,192,971,5210,
"Bilpin - Colo - St Albans",726,410,76,32,28,645,315,452,2691,
"Kurrajong Heights - Ebenezer",7429,3431,565,229,182,4557,1076,4426,21898,
"Pitt Town - McGraths Hill",3621,1668,210,77,87,2182,408,2278,10531,
"Rouse Hill - Beaumont Hills",7929,3457,471,230,285,3896,538,5847,22651,
"Blacktown (East) - Kings Park",5270,2154,400,394,279,4162,830,3437,16920,
"Blacktown (North) - Marayong",5347,2173,419,398,305,5042,639,3707,18024,
"Doonside - Woodcroft",6991,2703,553,469,389,5973,757,4690,22526,
"Lalor Park - Kings Langley",7861,3286,606,426,322,6430,986,4961,24874,
"Seven Hills - Toongabbie",7395,3105,510,452,344,6337,1027,4752,23920,
"Blacktown (South)",3619,1533,294,262,220,3291,504,2598,12325,
"Blacktown (West)",4807,2037,431,325,234,4402,600,3321,16154,
"Glenwood",5665,2325,401,244,295,3218,231,3749,16128,
"Parklea - Kellyville Ridge",11315,4078,683,394,410,6127,809,8826,32645,
"Riverstone - Marsden Park",5870,2152,395,279,192,3588,932,3899,17307,
"Acacia Gardens",1479,508,88,46,59,645,74,898,3796,
"Quakers Hill",8057,3325,513,398,359,4290,547,5448,22945,
"Bidwill - Hebersham - Emerton",3634,1737,392,527,347,5922,1242,4658,18439,
"Glendenning - Dean Park",2659,1052,192,165,128,1838,240,2074,8354,
"Hassall Grove - Plumpton",6713,2588,490,402,347,4646,714,4777,20673,
"Lethbridge Park - Tregear",4810,1824,436,547,309,5934,1356,5495,20705,
"Mount Druitt - Whalan",5099,2366,482,609,384,7012,1088,5656,22701,
"Prospect Reservoir",12,8,0,0,0,3,15,4,39,
"Rooty Hill - Minchinbury",6649,2661,544,395,336,5506,701,4364,21152,
"Banksmeadow",10,0,0,0,0,0,6,5,18,
"Botany",3869,1481,287,124,107,2008,720,2227,10822,
"Mascot - Eastlakes",8165,3453,628,412,392,6417,1250,3693,24407,
"Pagewood - Hillsdale - Daceyville",3270,1547,250,169,154,3235,761,1995,11374,
"Port Botany Industrial",3,0,0,0,0,5,0,0,11,
"Sydney Airport",14,3,7,0,0,6,28,0,61,
"Marrickville",9347,3942,620,449,367,6319,1716,3778,26540,
"Petersham - Stanmore",8220,3113,503,287,241,3529,1627,2706,20234,
"Sydenham - Tempe - St Peters",3125,1211,201,111,110,1475,445,1171,7840,
"Darlinghurst",5339,1527,247,197,140,1577,1743,542,11317,
"Erskineville - Alexandria",8575,2006,468,253,145,1802,1229,1755,16236,
"Glebe - Forest Lodge",7332,2881,460,362,355,4630,1850,1740,19614,
"Newtown - Camperdown - Darlington",9783,4014,784,332,618,5104,2072,2134,24840,
"Potts Point - Woolloomooloo",9467,2300,468,358,191,3095,4536,788,21200,
"Pyrmont - Ultimo",7518,3417,556,339,607,5558,2089,1561,21655,
"Redfern - Chippendale",8080,3124,488,407,543,6075,2505,1267,22495,
"Surry Hills",7600,2215,369,287,203,2905,2035,807,16416,
"Sydney - Haymarket - The Rocks",7970,6445,706,434,605,6175,3817,1251,27408,
