Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SA2 by RA"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"RA","Major Cities of Australia (NSW)","Inner Regional Australia (NSW)","Outer Regional Australia (NSW)","Remote Australia (NSW)","Very Remote Australia (NSW)","Major Cities of Australia (ACT)","Inner Regional Australia (ACT)","Total",
"Kyogle",0,2958,422,0,0,0,0,3385,
"Lismore",0,6985,0,0,0,0,0,6985,
"Lismore Region",0,6467,0,0,0,0,0,6467,
"Kingscliff - Fingal Head",5944,0,0,0,0,0,0,5944,
"Murwillumbah",3877,4,0,0,0,0,0,3881,
"Murwillumbah Region",275,3930,0,0,0,0,0,4207,
"Pottsville",4472,1102,0,0,0,0,0,5578,
"Tweed Heads",9241,261,0,0,0,0,0,9498,
"Banora Point",6825,0,0,0,0,0,0,6825,
"Terranora - North Tumblegum",1171,0,0,0,0,0,0,1171,
"Tweed Heads South",4289,0,0,0,0,0,0,4289,
"Griffith (NSW)",0,0,7583,0,0,0,0,7583,
"Griffith Region",0,0,4366,767,0,0,0,5130,
"Leeton",0,0,4066,0,0,0,0,4066,
"Narrandera",0,0,2629,0,0,0,0,2629,
"Tumbarumba",0,0,1464,0,0,0,0,1464,
"Tumut",0,2743,0,0,0,0,0,2743,
"Tumut Region",0,1014,1007,0,0,0,0,2022,
"Cootamundra",0,3192,182,0,0,0,0,3373,
"Gundagai",0,1308,224,0,0,0,0,1535,
"Junee",0,1913,298,0,0,0,0,2206,
"Temora",0,0,2871,0,0,0,0,2871,
"Wagga Wagga - East",0,6629,0,0,0,0,0,6629,
"Wagga Wagga - North",0,1496,0,0,0,0,0,1496,
"Wagga Wagga - South",0,8652,0,0,0,0,0,8652,
"Wagga Wagga - West",0,5351,0,0,0,0,0,5351,
"Wagga Wagga Region",0,4026,1704,0,0,0,0,5729,
"Berry - Kangaroo Valley",0,4009,0,0,0,0,0,4009,
"Callala Bay - Currarong",0,1582,0,0,0,0,0,1582,
"Culburra Beach",0,2317,0,0,0,0,0,2317,
"Ettrema - Sassafras - Budawang",0,22,0,0,0,0,0,22,
"Huskisson - Vincentia",0,2021,0,0,0,0,0,2021,
"North Nowra - Bomaderry",0,6687,0,0,0,0,0,6687,
"Nowra",0,8075,0,0,0,0,0,8075,
"St Georges Basin - Erowal Bay",0,6148,0,0,0,0,0,6148,
"Sussex Inlet - Berrara",0,2140,0,0,0,0,0,2140,
"Tomerong - Wandandian - Woollamia",0,1365,0,0,0,0,0,1365,
"Ulladulla",0,6972,0,0,0,0,0,6972,
"Ulladulla Region",0,2206,147,0,0,0,0,2344,
"Bowral",0,5585,0,0,0,0,0,5585,
"Hill Top - Colo Vale",0,2288,0,0,0,0,0,2288,
"Mittagong",0,3781,0,0,0,0,0,3781,
"Moss Vale - Berrima",0,4101,0,0,0,0,0,4101,
"Robertson - Fitzroy Falls",0,1472,0,0,0,0,0,1472,
"Southern Highlands",0,2865,0,0,0,0,0,2865,
"Baulkham Hills (East)",8596,0,0,0,0,0,0,8596,
"Baulkham Hills (West) - Bella Vista",6772,0,0,0,0,0,0,6772,
"Glenhaven",2249,0,0,0,0,0,0,2249,
"West Pennant Hills",4344,0,0,0,0,0,0,4344,
"Castle Hill - Central",2901,0,0,0,0,0,0,2901,
"Castle Hill - East",2034,0,0,0,0,0,0,2034,
"Castle Hill - North",4233,0,0,0,0,0,0,4233,
"Castle Hill - South",3466,0,0,0,0,0,0,3466,
"Castle Hill - West",1719,0,0,0,0,0,0,1719,
"Cherrybrook",6497,0,0,0,0,0,0,6497,
"Kellyville",7595,0,0,0,0,0,0,7595,
"Dural - Kenthurst - Wisemans Ferry",4688,2691,0,0,0,0,0,7384,
"Galston - Laughtondale",1161,761,0,0,0,0,0,1927,
"Bilpin - Colo - St Albans",0,1023,126,0,0,0,0,1141,
"Kurrajong Heights - Ebenezer",1500,6420,0,0,0,0,0,7922,
"Pitt Town - McGraths Hill",3076,716,0,0,0,0,0,3799,
"Rouse Hill - Beaumont Hills",7220,0,0,0,0,0,0,7220,
"Blacktown (East) - Kings Park",6648,0,0,0,0,0,0,6648,
"Blacktown (North) - Marayong",6760,0,0,0,0,0,0,6760,
"Doonside - Woodcroft",7981,0,0,0,0,0,0,7981,
"Lalor Park - Kings Langley",9566,0,0,0,0,0,0,9566,
"Seven Hills - Toongabbie",8890,0,0,0,0,0,0,8890,
"Blacktown (South)",4574,0,0,0,0,0,0,4574,
"Blacktown (West)",5792,0,0,0,0,0,0,5792,
"Glenwood",5125,0,0,0,0,0,0,5125,
"Parklea - Kellyville Ridge",10379,0,0,0,0,0,0,10379,
"Riverstone - Marsden Park",6446,0,0,0,0,0,0,6446,
"Acacia Gardens",1278,0,0,0,0,0,0,1278,
"Quakers Hill",7896,0,0,0,0,0,0,7896,
"Bidwill - Hebersham - Emerton",6725,0,0,0,0,0,0,6725,
"Glendenning - Dean Park",2794,0,0,0,0,0,0,2794,
"Hassall Grove - Plumpton",6677,0,0,0,0,0,0,6677,
"Lethbridge Park - Tregear",7645,0,0,0,0,0,0,7645,
"Mount Druitt - Whalan",8113,0,0,0,0,0,0,8113,
"Prospect Reservoir",3,0,0,0,0,0,0,3,
"Rooty Hill - Minchinbury",7030,0,0,0,0,0,0,7030,
"Banksmeadow",5,0,0,0,0,0,0,5,
"Botany",4230,0,0,0,0,0,0,4230,
"Mascot - Eastlakes",10321,0,0,0,0,0,0,10321,
"Pagewood - Hillsdale - Daceyville",4726,0,0,0,0,0,0,4726,
"Port Botany Industrial",3,0,0,0,0,0,0,3,
"Sydney Airport",9,0,0,0,0,0,0,9,
"Marrickville",11414,0,0,0,0,0,0,11414,
"Petersham - Stanmore",9178,0,0,0,0,0,0,9178,
"Sydenham - Tempe - St Peters",3338,0,0,0,0,0,0,3338,
"Darlinghurst",6243,0,0,0,0,0,0,6243,
"Erskineville - Alexandria",8057,0,0,0,0,0,0,8057,
"Glebe - Forest Lodge",10004,0,0,0,0,0,0,10004,
"Newtown - Camperdown - Darlington",11542,0,0,0,0,0,0,11542,
"Potts Point - Woolloomooloo",11600,0,0,0,0,0,0,11600,
"Pyrmont - Ultimo",10117,0,0,0,0,0,0,10117,
"Redfern - Chippendale",11383,0,0,0,0,0,0,11383,
"Surry Hills",8687,0,0,0,0,0,0,8687,
"Sydney - Haymarket - The Rocks",12847,0,0,0,0,0,0,12847,
"Waterloo - Beaconsfield",16726,0,0,0,0,0,0,16726,
"Bondi - Tamarama - Bronte",8355,0,0,0,0,0,0,8355,
"Bondi Beach - North Bondi",9621,0,0,0,0,0,0,9621,
"Bondi Junction - Waverly",7425,0,0,0,0,0,0,7425,
"Centennial Park",0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",11624,0,0,0,0,0,0,11624,
"Dover Heights",4482,0,0,0,0,0,0,4482,
"Paddington - Moore Park",7339,0,0,0,0,0,0,7339,
"Rose Bay - Vaucluse - Watsons Bay",4573,0,0,0,0,0,0,4573,
"Woollahra",3609,0,0,0,0,0,0,3609,
"Coogee - Clovelly",11402,0,0,0,0,0,0,11402,
"Malabar - La Perouse - Chifley",9063,0,0,0,0,0,0,9063,
"Kensington (NSW)",5417,0,0,0,0,0,0,5417,
"Kingsford",6359,0,0,0,0,0,0,6359,
"Maroubra - North",3939,0,0,0,0,0,0,3939,
"Maroubra - South",4900,0,0,0,0,0,0,4900,
"Maroubra - West",4230,0,0,0,0,0,0,4230,
"Randwick - North",7491,0,0,0,0,0,0,7491,
"Randwick - South",5505,0,0,0,0,0,0,5505,
"Bass Hill - Georges Hall",7597,0,0,0,0,0,0,7597,
"Chullora",317,0,0,0,0,0,0,317,
"Condell Park",3799,0,0,0,0,0,0,3799,
"Greenacre - Mount Lewis",8492,0,0,0,0,0,0,8492,
"Padstow",6390,0,0,0,0,0,0,6390,
"Panania - Milperra - Picnic Point",9614,0,0,0,0,0,0,9614,
"Revesby",6117,0,0,0,0,0,0,6117,
"Yagoona - Birrong",7208,0,0,0,0,0,0,7208,
"Bankstown - North",6119,0,0,0,0,0,0,6119,
"Bankstown - South",5713,0,0,0,0,0,0,5713,
"Belmore - Belfield",7338,0,0,0,0,0,0,7338,
"Canterbury (South) - Campsie",12204,0,0,0,0,0,0,12204,
"Kingsgrove (North) - Earlwood",8895,0,0,0,0,0,0,8895,
"Punchbowl",7031,0,0,0,0,0,0,7031,
"Roselands",4977,0,0,0,0,0,0,4977,
"Lakemba",5774,0,0,0,0,0,0,5774,
"Wiley Park",3692,0,0,0,0,0,0,3692,
"Hurstville",9396,0,0,0,0,0,0,9396,
"Mortdale - Penshurst",9823,0,0,0,0,0,0,9823,
"Narwee - Beverly Hills",5412,0,0,0,0,0,0,5412,
"Oatley - Hurstville Grove",4719,0,0,0,0,0,0,4719,
"Peakhurst - Lugarno",6725,0,0,0,0,0,0,6725,
"Riverwood",4854,0,0,0,0,0,0,4854,
"South Hurstville - Blakehurst",9224,0,0,0,0,0,0,9224,
"Arncliffe - Bardwell Valley",8967,0,0,0,0,0,0,8967,
"Bexley",9937,0,0,0,0,0,0,9937,
"Kingsgrove (South) - Bardwell Park",4867,0,0,0,0,0,0,4867,
"Kogarah",4696,0,0,0,0,0,0,4696,
"Kogarah Bay - Carlton - Allawah",6467,0,0,0,0,0,0,6467,
"Monterey - Brighton-le-Sands - Kyeemagh",6184,0,0,0,0,0,0,6184,
"Rockdale - Banksia",8055,0,0,0,0,0,0,8055,
"Sans Souci - Ramsgate",7047,0,0,0,0,0,0,7047,
"Concord - Mortlake - Cabarita",8630,0,0,0,0,0,0,8630,
"Concord West - North Strathfield",10686,0,0,0,0,0,0,10686,
"Drummoyne - Rodd Point",7828,0,0,0,0,0,0,7828,
"Five Dock - Abbotsford",8810,0,0,0,0,0,0,8810,
"Balmain",7180,0,0,0,0,0,0,7180,
"Leichhardt - Annandale",11245,0,0,0,0,0,0,11245,
"Lilyfield - Rozelle",6173,0,0,0,0,0,0,6173,
"Ashfield",10520,0,0,0,0,0,0,10520,
"Burwood - Croydon",9977,0,0,0,0,0,0,9977,
"Canterbury (North) - Ashbury",4264,0,0,0,0,0,0,4264,
"Croydon Park - Enfield",6748,0,0,0,0,0,0,6748,
"Dulwich Hill - Lewisham",7574,0,0,0,0,0,0,7574,
"Haberfield - Summer Hill",5568,0,0,0,0,0,0,5568,
"Homebush",6505,0,0,0,0,0,0,6505,
"Strathfield",9542,0,0,0,0,0,0,9542,
"Strathfield South",1342,0,0,0,0,0,0,1342,
"Chatswood (East) - Artarmon",12238,0,0,0,0,0,0,12238,
"Chatswood (West) - Lane Cove North",8872,0,0,0,0,0,0,8872,
"Lane Cove - Greenwich",10772,0,0,0,0,0,0,10772,
"St Leonards - Naremburn",4982,0,0,0,0,0,0,4982,
"Willoughby - Castle Cove - Northbridge",9384,0,0,0,0,0,0,9384,
"Asquith - Mount Colah",6543,0,0,0,0,0,0,6543,
"Berowra - Brooklyn - Cowan",3509,689,0,0,0,0,0,4200,
"Normanhurst - Thornleigh - Westleigh",6586,0,0,0,0,0,0,6586,
"Hornsby - East",5247,0,0,0,0,0,0,5247,
"Hornsby - West",4236,0,0,0,0,0,0,4236,
"Waitara - Wahroonga (West)",4017,0,0,0,0,0,0,4017,
"Gordon - Killara",8025,0,0,0,0,0,0,8025,
"Lindfield - Roseville",8520,0,0,0,0,0,0,8520,
"Pymble",5753,0,0,0,0,0,0,5753,
"St Ives",7638,0,0,0,0,0,0,7638,
"Turramurra",7159,0,0,0,0,0,0,7159,
"Wahroonga (East) - Warrawee",6292,0,0,0,0,0,0,6292,
"Cremorne - Cammeray",9176,0,0,0,0,0,0,9176,
"Crows Nest - Waverton",8933,0,0,0,0,0,0,8933,
"Mosman",12426,0,0,0,0,0,0,12426,
"Neutral Bay - Kirribilli",9351,0,0,0,0,0,0,9351,
"North Sydney - Lavender Bay",5613,0,0,0,0,0,0,5613,
"Balgowlah - Clontarf - Seaforth",7481,0,0,0,0,0,0,7481,
"Manly - Fairlight",10041,0,0,0,0,0,0,10041,
"Avalon - Palm Beach",4798,0,0,0,0,0,0,4798,
"Bayview - Elanora Heights",4028,173,0,0,0,0,0,4200,
"Newport - Bilgola",5155,0,0,0,0,0,0,5155,
"Warriewood - Mona Vale",9245,0,0,0,0,0,0,9245,
