Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by HIED Equivalised Total Household Income (weekly)"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"HIED Equivalised Total Household Income (weekly)","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800 - $25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000 or more ($156,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"Dubbo - East",43,31,130,244,402,399,382,480,457,300,206,120,124,37,47,356,108,277,4150,
"Dubbo - South",53,58,237,431,736,700,655,756,833,539,360,268,246,58,114,504,190,482,7234,
"Dubbo - West",39,23,131,221,362,342,327,400,353,229,167,113,120,22,64,266,145,334,3670,
"Dubbo Region",29,13,65,126,167,186,186,212,236,151,117,88,80,13,36,235,42,176,2156,
"Gilgandra",24,21,86,154,291,200,180,168,139,90,66,44,31,10,31,150,71,148,1887,
"Narromine",34,50,124,211,336,253,247,232,254,152,102,63,68,15,33,228,111,245,2758,
"Wellington",34,45,201,336,506,364,244,278,237,170,101,80,63,19,33,303,163,338,3513,
"Branxton - Greta - Pokolbin",41,23,109,198,341,305,339,389,485,327,229,184,200,62,109,316,78,237,3965,
"Cessnock",102,70,439,800,1352,1027,827,893,768,457,266,220,222,48,74,540,261,487,8854,
"Cessnock Region",25,22,120,174,299,333,253,289,327,199,144,97,120,34,58,259,66,318,3134,
"Dungog",33,39,141,252,444,366,399,383,353,242,151,116,116,37,57,288,74,241,3723,
"Kurri Kurri - Abermain",66,44,341,594,1011,857,701,783,698,437,263,166,131,25,42,498,220,310,7204,
"Singleton",62,49,226,355,532,468,492,559,658,538,392,306,396,124,165,497,132,355,6304,
"Singleton Region",29,18,51,92,136,137,151,169,173,140,118,82,101,43,34,147,29,256,1903,
"Maitland",33,10,86,165,245,278,260,288,289,224,146,95,99,32,45,151,64,200,2709,
"Maitland - East",101,90,392,728,1289,1184,1061,1206,1270,790,589,437,411,97,129,777,254,428,11240,
"Maitland - North",27,16,57,115,221,232,213,265,334,232,219,144,187,72,82,232,53,100,2809,
"Maitland - West",74,63,360,609,998,895,843,920,1014,654,425,356,337,71,86,635,251,331,8936,
"Thornton - Millers Forest",20,20,93,143,280,335,333,435,497,322,290,172,143,45,37,361,54,67,3638,
"Anna Bay",26,25,64,152,317,258,222,216,232,124,105,62,44,20,17,229,55,228,2414,
"Lemon Tree Passage - Tanilba Bay",44,27,135,198,515,398,265,321,267,141,93,59,44,10,19,160,85,172,2947,
"Nelson Bay Peninsula",113,100,304,619,1165,1058,946,1025,868,519,331,252,237,82,145,678,268,774,9490,
"Raymond Terrace",54,35,276,489,807,684,600,599,575,325,234,139,88,22,26,390,157,446,5943,
"Seaham - Woodville",21,11,40,61,136,145,161,247,255,181,138,81,105,41,36,187,31,54,1939,
"Tea Gardens - Hawks Nest",31,22,78,203,411,326,281,220,192,97,57,59,41,15,37,147,70,214,2498,
"Williamtown - Medowie - Karuah",62,34,126,298,532,433,503,564,601,382,280,200,182,42,51,461,113,320,5181,
"Muswellbrook",64,65,260,375,455,426,382,428,524,331,284,204,259,57,96,321,156,321,5026,
"Muswellbrook Region",17,14,50,102,157,112,140,143,171,115,71,49,75,21,30,152,45,139,1600,
"Scone",22,21,64,130,276,210,225,274,233,176,138,92,103,28,43,169,90,177,2475,
"Scone Region",44,39,142,223,413,318,322,325,310,222,151,109,110,27,59,239,101,351,3496,
"Dapto - Avondale",98,94,349,704,1324,1064,977,1029,1115,634,439,243,218,48,52,625,254,255,9519,
"Horsley - Kembla Grange",22,16,72,124,221,272,297,386,426,314,206,141,117,29,37,233,25,56,2996,
"Port Kembla Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
"Unanderra - Mount Kembla",58,52,186,331,603,548,471,592,616,442,353,282,262,77,81,483,106,188,5734,
"Berkeley - Lake Heights - Cringila",81,63,322,543,792,634,542,559,506,289,169,116,96,12,28,386,179,215,5538,
"Port Kembla - Warrawong",54,47,309,501,621,491,351,337,302,170,122,84,69,14,18,289,170,255,4224,
"Windang - Primbee",31,23,79,194,348,210,182,198,170,121,87,51,49,19,17,118,80,106,2058,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Albion Park - Macquarie Pass",36,33,125,264,439,488,499,624,688,484,302,183,199,41,27,434,90,146,5106,
"Albion Park Rail",38,23,99,212,366,320,262,333,329,176,120,72,39,10,12,194,61,126,2799,
"Kiama",34,27,91,180,379,314,290,380,339,250,173,138,162,45,72,225,74,223,3406,
"Kiama Downs - Minnamurra",18,6,38,102,178,183,241,229,265,209,155,149,110,44,36,217,20,83,2271,
"Kiama Hinterland - Gerringong",19,18,54,139,220,264,275,326,285,218,172,160,165,46,103,286,56,281,3092,
"Shellharbour - Flinders",48,42,128,283,511,520,506,692,784,532,372,315,339,104,78,518,92,243,6117,
"Shellharbour - Oak Flats",41,34,115,272,478,458,400,456,452,288,197,133,111,32,28,298,81,159,4048,
"Warilla",99,76,429,803,1386,1070,813,782,802,460,301,175,132,26,57,610,269,439,8714,
"Balgownie - Fairy Meadow",133,101,324,613,1035,843,750,768,911,623,457,354,376,122,152,615,223,325,8727,
"Corrimal - Tarrawanna - Bellambi",66,63,340,573,833,643,602,639,713,479,352,225,219,45,85,482,179,277,6812,
"Figtree - Keiraville",106,93,290,456,796,788,702,752,905,616,491,379,390,145,134,619,149,268,8081,
"Helensburgh",25,13,53,84,177,194,219,310,415,327,237,203,206,77,86,297,49,108,3071,
"Thirroul - Austinmer - Coalcliff",30,33,108,164,241,293,305,372,490,375,323,290,345,147,199,389,58,171,4335,
