Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by SLPP Sex of Lone Parent"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"SLPP Sex of Lone Parent","Male lone parent","Female lone parent","Not applicable","Total",
"Ashfield",149,692,23661,24497,
"Burwood - Croydon",158,733,23761,24653,
"Canterbury (North) - Ashbury",63,352,10027,10449,
"Croydon Park - Enfield",116,609,16497,17222,
"Dulwich Hill - Lewisham",92,592,16122,16809,
"Haberfield - Summer Hill",81,385,13004,13474,
"Homebush",83,390,15735,16211,
"Strathfield",102,653,24261,25016,
"Strathfield South",31,133,3385,3542,
"Chatswood (East) - Artarmon",150,911,27624,28683,
"Chatswood (West) - Lane Cove North",103,521,20239,20857,
"Lane Cove - Greenwich",121,598,26011,26733,
"St Leonards - Naremburn",54,234,10210,10500,
"Willoughby - Castle Cove - Northbridge",137,610,24721,25463,
"Asquith - Mount Colah",108,491,17691,18291,
"Berowra - Brooklyn - Cowan",77,256,11361,11699,
"Normanhurst - Thornleigh - Westleigh",100,452,17983,18531,
"Hornsby - East",89,433,11272,11798,
"Hornsby - West",69,326,10286,10684,
"Waitara - Wahroonga (West)",47,313,9242,9602,
"Gordon - Killara",120,607,20599,21328,
"Lindfield - Roseville",118,537,22494,23147,
"Pymble",59,366,15922,16354,
"St Ives",89,469,19893,20456,
"Turramurra",88,417,18762,19267,
"Wahroonga (East) - Warrawee",68,382,17367,17822,
"Cremorne - Cammeray",97,450,18538,19084,
"Crows Nest - Waverton",86,394,17539,18026,
"Mosman",125,684,27668,28476,
"Neutral Bay - Kirribilli",88,366,17398,17852,
"North Sydney - Lavender Bay",54,189,10461,10703,
"Balgowlah - Clontarf - Seaforth",106,468,19612,20188,
"Manly - Fairlight",118,422,21163,21704,
"Avalon - Palm Beach",74,312,11989,12374,
"Bayview - Elanora Heights",69,193,10481,10745,
"Newport - Bilgola",95,353,12733,13186,
"Warriewood - Mona Vale",174,663,23300,24134,
"Beacon Hill - Narraweena",83,415,13392,13882,
"Cromer",44,177,7263,7485,
"Dee Why - North Curl Curl",191,788,23970,24949,
"Forestville - Killarney Heights",64,324,12404,12796,
"Frenchs Forest - Belrose",123,579,24469,25171,
"Freshwater - Brookvale",111,518,20345,20978,
"Manly Vale - Allambie Heights",104,445,16324,16870,
"Narrabeen - Collaroy",161,629,23978,24771,
"Terrey Hills - Duffys Forest",22,73,3555,3648,
"Camden - Ellis Lane",100,335,12531,12963,
"Elderslie - Harrington Park",133,667,20183,20980,
"Mount Annan - Currans Hill",191,1107,27271,28576,
"Bradbury - Wedderburn",242,1193,17528,18962,
"Campbelltown - Woodbine",173,759,17255,18194,
"Claymore - Eagle Vale - Raby",197,1077,19131,20405,
"Holsworthy Military Area",0,0,0,0,
"Ingleburn - Denham Court",176,765,19043,19985,
"Leumeah - Minto Heights",154,758,15626,16541,
"Macquarie Fields - Glenfield",219,1078,22260,23556,
"Minto - St Andrews",179,861,18841,19887,
"Rosemeadow - Glen Alpine",199,1074,19609,20876,
"Bargo",37,168,5534,5740,
"Douglas Park - Appin",61,196,9373,9625,
"Picton - Tahmoor - Buxton",137,593,16059,16786,
"The Oaks - Oakdale",54,202,8741,8997,
"Blackheath - Megalong Valley",60,210,5296,5560,
"Blaxland - Warrimoo - Lapstone",117,571,18249,18936,
"Blue Mountains - North",0,0,8,12,
"Katoomba - Leura",119,534,12568,13222,
"Lawson - Hazelbrook - Linden",76,447,10735,11253,
"Springwood - Winmalee",158,668,20804,21633,
"Wentworth Falls",40,178,5855,6077,
"Blue Mountains - South",0,0,5,5,
"Cambridge Park",145,725,14770,15644,
"Castlereagh - Cranebrook",165,948,22608,23724,
"Emu Plains - Leonay",97,461,13659,14223,
"Glenmore Park - Regentville",130,730,20340,21203,
"Jamisontown - South Penrith",158,818,16315,17288,
"Kingswood - Werrington",163,992,18431,19577,
"Mulgoa - Luddenham - Orchard Hills",68,216,9264,9541,
"Penrith",141,742,12416,13295,
"Warragamba - Silverdale",44,129,5022,5195,
"Richmond - Clarendon",126,646,13074,13839,
"Windsor - Bligh Park",162,783,14381,15330,
"Yarramundi - Londonderry",59,161,7158,7376,
"Erskine Park",43,213,6174,6440,
"St Clair",163,806,18926,19895,
"Colyton - Oxley Park",119,599,10878,11595,
"St Marys - North St Marys",224,972,14876,16074,
"Homebush Bay - Silverwater",84,391,18262,18733,
"Rookwood Cemetery",0,0,0,0,
"Auburn - Central",99,482,16593,17175,
"Auburn - North",84,278,10964,11325,
"Auburn - South",55,255,8180,8487,
"Berala",52,329,8521,8898,
"Lidcombe",131,588,19268,19988,
"Regents Park",35,200,4829,5067,
"Carlingford",175,756,26433,27359,
"Ermington - Rydalmere",149,761,20516,21423,
"Oatlands - Dundas Valley",128,592,17062,17788,
"Chester Hill - Sefton",148,782,17543,18461,
"Fairfield - East",126,686,14705,15514,
"Granville - Clyde",141,641,20043,20830,
"Greystanes - Pemulwuy",181,815,25314,26307,
"Guildford - South Granville",107,777,20060,20951,
"Guildford West - Merrylands West",147,902,19675,20722,
"Merrylands - Holroyd",205,1177,27067,28452,
"Smithfield Industrial",0,0,10,10,
"Yennora Industrial",0,0,14,14,
"North Parramatta",137,744,21353,22232,
"North Rocks",38,213,7633,7878,
"Northmead",90,501,19789,20383,
"Parramatta - Rosehill",154,651,28441,29243,
"Toongabbie - Constitution Hill",153,743,21039,21936,
"Winston Hills",75,278,10418,10774,
"Pendle Hill - Girraween",91,341,12413,12842,
"Wentworthville - Westmead",74,408,15116,15599,
"Epping - North Epping",131,722,26239,27093,
"Pennant Hills - Cheltenham",118,428,19947,20495,
"Eastwood - Denistone",123,689,24230,25045,
"Gladesville - Huntleys Point",84,380,13943,14409,
"Hunters Hill - Woolwich",40,223,10082,10341,
"Macquarie Park - Marsfield",105,501,21127,21728,
"North Ryde - East Ryde",91,356,11858,12311,
"West Ryde - Meadowbank",103,550,18722,19375,
"Putney",23,107,4011,4143,
"Ryde",180,774,26217,27174,
"Ashcroft - Busby - Miller",174,1161,15997,17335,
"Austral - Greendale",82,237,8596,8918,
"Cobbitty - Leppington",75,426,17394,17890,
"Badgerys Creek",3,3,54,59,
"Cecil Hills",36,199,6777,7015,
"Green Valley",92,574,11848,12514,
"Hinchinbrook",81,480,11743,12295,
"Hoxton Park - Carnes Hill - Horningsea Park",52,383,11152,11588,
"West Hoxton - Middleton Grange",91,484,14614,15187,
"Bonnyrigg Heights - Bonnyrigg",137,928,14911,15980,
"Bossley Park - Abbotsbury",136,684,18018,18834,
"Cabramatta - Lansvale",260,1476,22978,24708,
"Cabramatta West - Mount Pritchard",198,1005,15988,17188,
"Canley Vale - Canley Heights",203,1240,19379,20819,
"Edensor Park",59,437,9275,9772,
"Fairfield",157,955,16590,17704,
"Fairfield - West",162,977,17949,19088,
"Greenfield Park - Prairiewood",65,361,7912,8336,
"Horsley Park - Kemps Creek",36,94,4286,4426,
"Smithfield - Wetherill Park",157,813,17072,18045,
"St Johns Park - Wakeley",96,511,10262,10866,
"Wetherill Park Industrial",0,0,32,36,
"Casula",102,587,14979,15661,
"Chipping Norton - Moorebank",121,628,17993,18748,
"Holsworthy - Wattle Grove",135,551,20027,20706,
"Liverpool",209,1288,25679,27172,
"Lurnea - Cartwright",93,615,10978,11686,
"Prestons - Edmondson Park",91,476,17006,17580,
"Warwick Farm",48,302,5449,5798,
