Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by BPLP Country of Birth of Person"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"BPLP Country of Birth of Person","COB_overseas","COB_aust","Total",
"Blacktown (North) - Marayong",8330,9695,18024,
"Doonside - Woodcroft",12010,10519,22526,
"Lalor Park - Kings Langley",8602,16272,24874,
"Seven Hills - Toongabbie",11868,12048,23920,
"Blacktown (South)",6051,6274,12325,
"Blacktown (West)",8220,7944,16154,
"Glenwood",7897,8230,16128,
"Parklea - Kellyville Ridge",14850,17796,32645,
"Riverstone - Marsden Park",6295,11016,17307,
"Acacia Gardens",1690,2102,3796,
"Quakers Hill",9442,13495,22945,
"Bidwill - Hebersham - Emerton",7197,11245,18439,
"Glendenning - Dean Park",3795,4553,8354,
"Hassall Grove - Plumpton",9962,10714,20673,
"Lethbridge Park - Tregear",7852,12855,20705,
"Mount Druitt - Whalan",12113,10585,22701,
"Prospect Reservoir",27,15,39,
"Rooty Hill - Minchinbury",10621,10536,21152,
"Banksmeadow",3,15,18,
"Botany",3995,6822,10822,
"Mascot - Eastlakes",14207,10199,24407,
"Pagewood - Hillsdale - Daceyville",5734,5642,11374,
"Port Botany Industrial",0,4,11,
"Sydney Airport",39,18,61,
"Marrickville",11852,14683,26540,
"Petersham - Stanmore",7505,12724,20234,
"Sydenham - Tempe - St Peters",3181,4661,7840,
"Darlinghurst",6225,5097,11317,
"Erskineville - Alexandria",6698,9541,16236,
"Glebe - Forest Lodge",9490,10123,19614,
"Newtown - Camperdown - Darlington",10971,13873,24840,
"Potts Point - Woolloomooloo",11909,9296,21200,
"Pyrmont - Ultimo",15393,6266,21655,
"Redfern - Chippendale",14031,8463,22495,
"Surry Hills",9513,6897,16416,
"Sydney - Haymarket - The Rocks",22693,4716,27408,
"Waterloo - Beaconsfield",21345,11716,33061,
"Bondi - Tamarama - Bronte",8840,9562,18401,
"Bondi Beach - North Bondi",10340,10384,20729,
"Bondi Junction - Waverly",8747,8107,16853,
"Centennial Park",0,0,0,
"Double Bay - Bellevue Hill",10835,14037,24870,
"Dover Heights",5311,5512,10830,
"Paddington - Moore Park",6205,8965,15171,
"Rose Bay - Vaucluse - Watsons Bay",4854,6996,11844,
"Woollahra",3155,4528,7686,
