Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by ENGP Proficiency in Spoken English"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"ENGP Proficiency in Spoken English","Very well","Well","Not well","Not at all","Not stated - both language (LANP) and proficiency (ENGP) not stated","Not stated - language (LANP) stated, proficiency (ENGP) not stated","Not applicable","Total",
"SA2 (UR)",
"Deniliquin Region",84,39,5,4,607,3,6006,6751,
"Moama",95,55,14,3,376,5,5300,5845,
"Tocumwal - Finley - Jerilderie",214,90,22,7,967,3,8424,9728,
"Armidale",1290,639,238,68,1645,25,19447,23348,
"Armidale Region - North",60,36,21,3,310,3,4065,4490,
"Armidale Region - South",97,15,6,0,376,3,5523,6023,
"Walcha",36,12,0,0,353,0,2825,3226,
"Glen Innes",134,50,26,12,972,4,7635,8832,
"Inverell",232,141,50,15,760,10,10449,11660,
"Inverell Region - East",83,24,8,0,535,0,4586,5235,
"Inverell Region - West",51,13,9,0,565,0,5349,5987,
"Tenterfield",123,40,13,0,718,3,5724,6624,
"Moree",242,98,38,15,961,8,6842,8203,
"Moree Region",104,28,4,7,640,0,4669,5451,
"Narrabri",123,36,8,8,684,0,6311,7170,
"Narrabri Region",41,12,3,0,599,0,4143,4797,
"Gunnedah",153,80,24,10,653,5,8269,9191,
"Gunnedah Region",45,11,8,0,365,0,3704,4133,
"Quirindi",70,34,0,0,667,3,6910,7684,
"Tamworth - East",417,310,182,51,1296,11,18106,20372,
"Tamworth - North",458,254,102,34,1116,18,13091,15077,
"Tamworth - West",106,103,30,4,532,9,4777,5563,
"Tamworth Region",233,42,24,12,1354,5,16797,18472,
"Belmont - Bennetts Green",421,164,55,17,731,17,16322,17724,
"Belmont South - Blacksmiths",85,48,14,0,235,0,5217,5604,
"Charlestown - Dudley",933,375,155,39,934,18,21506,23965,
"Glendale - Cardiff - Hillsborough",874,300,114,46,813,20,21219,23387,
"Mount Hutton - Windale",228,77,31,7,506,8,8042,8901,
"Redhead",118,18,6,5,183,0,3188,3517,
"Swansea - Caves Beach",232,77,28,9,485,0,10714,11546,
"Valentine - Eleebana",402,70,38,20,330,7,11133,11994,
"Warners Bay - Boolaroo",451,115,56,20,491,12,12227,13371,
"Bolton Point - Teralba",205,47,33,5,563,9,7664,8523,
"Bonnells Bay - Silverwater",259,80,28,8,332,8,8003,8719,
"Edgeworth - Cameron Park",616,195,82,41,458,8,12795,14200,
"Morisset - Cooranbong",504,165,66,20,753,20,13434,14963,
"Toronto - Awaba",299,101,35,19,620,4,12345,13425,
"Wangi Wangi - Rathmines",202,65,23,3,264,5,8331,8897,
"West Wallsend - Barnsley - Killingworth",109,21,3,6,236,4,6097,6481,
"Adamstown - Kotara",797,306,130,26,383,15,13953,15600,
"Beresfield - Hexham",167,88,90,30,465,4,7516,8358,
"Hamilton - Broadmeadow",754,338,168,30,679,7,9860,11847,
"Lambton - New Lambton",819,316,152,32,551,19,14637,16526,
"Maryland - Fletcher - Minmi",940,340,158,57,348,21,11707,13570,
"Mayfield - Warabrook",783,449,225,56,889,21,12447,14873,
"Merewether - The Junction",567,125,41,11,602,0,12270,13622,
"Newcastle - Cooks Hill",634,172,65,17,865,10,8995,10757,
"Newcastle Port - Kooragang",0,0,0,0,0,0,16,16,
"Shortland - Jesmond",1167,1185,453,160,474,15,8082,11544,
"Stockton - Fullerton Cove",162,38,15,13,851,7,6405,7495,
"Wallsend - Elermore Vale",1211,637,304,96,741,20,16619,19628,
"Waratah - North Lambton",688,383,133,34,915,15,9889,12059,
"Wickham - Carrington - Tighes Hill",364,118,58,14,465,4,6977,8003,
"Ballina",439,167,45,14,1448,11,14990,17115,
"Ballina Region",464,140,34,10,1061,17,15103,16835,
"Bangalow",244,46,11,8,617,5,4745,5670,
"Brunswick Heads - Ocean Shores",401,84,13,14,693,8,6987,8212,
"Byron Bay",586,154,43,8,1450,10,7252,9503,
"Evans Head",62,25,9,3,449,5,4670,5219,
"Lennox Head - Skennars Head",270,38,10,12,377,0,7035,7741,
"Mullumbimby",458,95,16,6,990,16,6407,7994,
"Casino",159,63,18,3,774,10,11199,12231,
"Casino Region",86,40,16,8,632,0,6186,6972,
"Goonellabah",482,159,63,23,854,11,11525,13122,
"Kyogle",163,45,12,5,653,5,6438,7312,
"Lismore",480,170,79,27,1208,6,13318,15282,
"Lismore Region",498,104,23,22,1195,10,13173,15028,
"Kingscliff - Fingal Head",320,78,15,5,965,4,11764,13150,
"Murwillumbah",261,82,25,10,576,7,7974,8942,
"Murwillumbah Region",255,54,24,4,953,6,8361,9653,
"Pottsville",394,97,32,16,762,18,11865,13181,
"Tweed Heads",666,283,89,34,1638,17,16703,19418,
"Banora Point",462,162,47,28,638,9,14290,15636,
"Terranora - North Tumblegum",95,27,7,0,134,0,2978,3249,
"Tweed Heads South",301,137,57,15,514,11,7115,8146,
"Griffith (NSW)",2269,1225,807,227,1674,79,12864,19143,
"Griffith Region",729,237,138,21,1208,22,10530,12880,
"Leeton",445,218,108,14,843,10,8449,10086,
"Narrandera",95,59,13,8,612,3,5248,6034,
"Tumbarumba",68,18,4,0,407,0,2945,3445,
"Tumut",138,57,13,0,631,0,5423,6275,
"Tumut Region",119,60,40,10,356,7,4135,4715,
"Cootamundra",106,46,22,4,481,0,6905,7566,
"Gundagai",50,15,5,4,256,0,3271,3596,
"Junee",73,50,65,15,1324,0,4714,6245,
"Temora",81,45,16,7,411,9,6157,6717,
"Wagga Wagga - East",603,293,105,29,680,8,14857,16585,
"Wagga Wagga - North",284,107,40,10,210,6,3747,4404,
"Wagga Wagga - South",818,438,214,76,960,19,18745,21266,
"Wagga Wagga - West",542,283,109,40,929,18,10239,12155,
"Wagga Wagga Region",245,52,22,19,1214,4,13261,14819,
"Berry - Kangaroo Valley",212,48,15,8,625,6,7878,8788,
"Callala Bay - Currarong",104,76,19,4,230,0,3191,3611,
"Culburra Beach",109,34,14,0,382,5,4416,4962,
"Ettrema - Sassafras - Budawang",0,0,6,0,6,0,41,54,
"Huskisson - Vincentia",175,90,27,11,232,3,3643,4194,
"North Nowra - Bomaderry",430,167,56,24,938,12,14134,15759,
"Nowra",599,232,102,42,2257,12,16797,20040,
"St Georges Basin - Erowal Bay",368,162,60,21,768,9,12620,14006,
"Sussex Inlet - Berrara",92,44,7,3,235,0,3962,4345,
"Tomerong - Wandandian - Woollamia",95,35,11,4,197,3,3064,3405,
"Ulladulla",394,151,42,11,943,5,13729,15279,
"Ulladulla Region",116,21,14,6,368,0,4541,5063,
"Bowral",580,170,43,18,672,19,11442,12948,
"Hill Top - Colo Vale",178,41,27,5,315,4,5453,6026,
"Mittagong",419,132,49,15,595,5,7786,8999,
"Moss Vale - Berrima",363,215,116,13,555,13,8518,9801,
"Robertson - Fitzroy Falls",71,30,4,0,287,0,3113,3506,
"Southern Highlands",218,41,15,3,371,0,5947,6585,
"Baulkham Hills (East)",4973,2024,946,399,567,75,13960,22943,
"Baulkham Hills (West) - Bella Vista",5234,1595,639,280,419,40,11865,20068,
"Glenhaven",572,139,48,17,164,9,5300,6253,
"West Pennant Hills",3086,1051,447,179,243,36,7595,12640,
